GO_name,GO_term,GO_definition
positive regulation of epithelial cell proliferation,GO:0050679,Any process that activates or increases the rate or extent of epithelial cell proliferation.
cellular response to gamma radiation,GO:0071480,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a gamma radiation stimulus. Gamma radiation is a form of electromagnetic radiation (EMR) or light emission of a specific frequency produced from sub-atomic particle interaction, such as electron-positron annihilation and radioactive decay. Gamma rays are generally characterized as EMR having the highest frequency and energy, and also the shortest wavelength, within the electromagnetic radiation spectrum."
positive regulation of wound healing,GO:0090303,"Any process that increases the rate, frequency, or extent of the series of events that restore integrity to a damaged tissue, following an injury."
cellular senescence,GO:0090398,"A cell aging process stimulated in response to cellular stress, whereby normal cells lose the ability to divide through irreversible cell cycle arrest."
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane,GO:0098696,"Any process that modulates the frequency, rate or extent of neurotransmitter receptor localization to postsynaptic specialization membrane."
positive regulation of ruffle assembly,GO:1900029,"Any process that activates or increases the frequency, rate or extent of ruffle assembly."
positive regulation of miRNA metabolic process,GO:2000630,"Any process that activates or increases the frequency, rate or extent of miRNA metabolic process."
protein phosphorylation,GO:0006468,The process of introducing a phosphate group on to a protein.
phosphorylation,GO:0016310,"The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide."
peptidyl-tyrosine phosphorylation,GO:0018108,The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine.
negative regulation of gluconeogenesis,GO:0045721,"Any process that stops, prevents, or reduces the frequency, rate or extent of gluconeogenesis."
regulation of RNA splicing,GO:0043484,"Any process that modulates the frequency, rate or extent of RNA splicing, the process of removing sections of the primary RNA transcript to remove sequences not present in the mature form of the RNA and joining the remaining sections to form the mature form of the RNA."
protein autophosphorylation,GO:0046777,"The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."
coenzyme A biosynthetic process,GO:0015937,"The chemical reactions and pathways resulting in the formation of coenzyme A, 3'-phosphoadenosine-(5')diphospho(4')pantatheine, an acyl carrier in many acylation and acyl-transfer reactions in which the intermediate is a thiol ester."
peroxisome proliferator activated receptor signaling pathway,GO:0035357,"The series of molecular signals initiated by binding of a ligand to any of the peroxisome proliferator activated receptors (alpha, beta or gamma) in the nuclear membrane, and ending with the initiation or termination of the transcription of target genes."
regulation of microtubule cytoskeleton organization,GO:0070507,"Any process that modulates the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising microtubules and their associated proteins."
cell morphogenesis,GO:0000902,The developmental process in which the size or shape of a cell is generated and organized.
regulation of cell shape,GO:0008360,Any process that modulates the surface configuration of a cell.
dendrite development,GO:0016358,"The process whose specific outcome is the progression of the dendrite over time, from its formation to the mature structure."
anatomical structure morphogenesis,GO:0009653,The process in which anatomical structures are generated and organized. Morphogenesis pertains to the creation of form.
negative regulation of lymphocyte proliferation,GO:0050672,"Any process that stops, prevents or reduces the rate or extent of lymphocyte proliferation."
glycolytic process,GO:0006096,"The chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP and the reduction of NAD(P) to NAD(P)H. Glycolysis begins with the metabolism of a carbohydrate to generate products that can enter the pathway and ends with the production of pyruvate. Pyruvate may be converted to acetyl-coenzyme A, ethanol, lactate, or other small molecules."
canonical glycolysis,GO:0061621,"The glycolytic process that begins with the conversion of glucose to glucose-6-phosphate by glucokinase activity. Glycolytic processes are the  chemical reactions and pathways resulting in the breakdown of a carbohydrate into pyruvate, with the concomitant production of a small amount of ATP."
homophilic cell adhesion via plasma membrane adhesion molecules,GO:0007156,The attachment of a plasma membrane adhesion molecule in one cell to an identical molecule in an adjacent cell.
"negative regulation of CD4-positive, alpha-beta T cell activation",GO:2000515,"Any process that stops, prevents or reduces the frequency, rate or extent of CD4-positive, alpha-beta T cell activation."
phospholipid metabolic process,GO:0006644,"The chemical reactions and pathways involving phospholipids, any lipid containing phosphoric acid as a mono- or diester."
phospholipid biosynthetic process,GO:0008654,"The chemical reactions and pathways resulting in the formation of phospholipids, any lipid containing phosphoric acid as a mono- or diester."
phosphatidylinositol biosynthetic process,GO:0006661,"The chemical reactions and pathways resulting in the formation of phosphatidylinositol, any glycophospholipid in which the sn-glycerol 3-phosphate residue is esterified to the 1-hydroxyl group of 1D-myo-inositol."
phosphatidylinositol acyl-chain remodeling,GO:0036149,"Remodeling the acyl chains of phosphatidylinositol, through sequential deacylation and re-acylation reactions, to generate phosphatidylinositol containing different types of fatty acid acyl chains."
phosphatidylcholine acyl-chain remodeling,GO:0036151,"Remodeling the acyl chains of phosphatidylcholine, through sequential deacylation and re-acylation reactions, to generate phosphatidylcholine containing different types of fatty acid acyl chains."
layer formation in cerebral cortex,GO:0021819,The detachment of cells from radial glial fibers at the appropriate time when they cease to migrate and form distinct layer in the cerebral cortex.
lipid modification,GO:0030258,"The covalent alteration of one or more fatty acids in a lipid, resulting in a change in the properties of the lipid."
regulation of triglyceride metabolic process,GO:0090207,"Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving triglyceride, any triester of glycerol."
"DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest",GO:0006977,"A cascade of processes induced by the cell cycle regulator phosphoprotein p53, or an equivalent protein, in response to the detection of DNA damage and resulting in the stopping or reduction in rate of the cell cycle."
nuclear-transcribed mRNA poly(A) tail shortening,GO:0000289,Shortening of the poly(A) tail of a nuclear-transcribed mRNA from full length to an oligo(A) length.
regulation of stem cell population maintenance,GO:2000036,"Any process that modulates the frequency, rate or extent of stem cell population maintenance."
positive regulation of cold-induced thermogenesis,GO:0120162,"Any process that activates or increases the frequency, rate or extent of cold-induced thermogenesis."
positive regulation of interleukin-6 production,GO:0032755,"Any process that activates or increases the frequency, rate, or extent of interleukin-6 production."
cell-cell signaling,GO:0007267,"Any process that mediates the transfer of information from one cell to another. This process includes signal transduction in the receiving cell and, where applicable, release of a ligand and any processes that actively facilitate its transport and presentation to the receiving cell.  Examples include signaling via soluble ligands, via cell adhesion molecules and via gap junctions."
positive regulation of regulatory T cell differentiation,GO:0045591,"Any process that activates or increases the frequency, rate or extent of differentiation of regulatory T cells."
learning or memory,GO:0007611,The acquisition and processing of information and/or the storage and retrieval of this information over time.
negative regulation of protein metabolic process,GO:0051248,"Any process that stops, prevents, or reduces the frequency, rate or extent of chemical reactions and pathways involving a protein."
positive regulation of T cell proliferation,GO:0042102,Any process that activates or increases the rate or extent of T cell proliferation.
regulation of dendritic cell differentiation,GO:2001198,"Any process that modulates the frequency, rate or extent of dendritic cell differentiation."
Fc receptor mediated inhibitory signaling pathway,GO:0002774,A series of molecular signals generated as a consequence of the binding of the Fc portion of an immunoglobulin by an Fc receptor capable of inhibiting an immune effector process contributing to an immune response. The Fc portion of an immunoglobulin is its C-terminal constant region.
heterotypic cell-cell adhesion,GO:0034113,The attachment of a cell to a cell of a different type via adhesion molecules.
positive regulation of tolerance induction,GO:0002645,"Any process that activates or increases the frequency, rate, or extent of tolerance induction."
positive regulation of T cell tolerance induction,GO:0002666,"Any process that activates or increases the frequency, rate, or extent of T cell tolerance induction."
immune response-inhibiting cell surface receptor signaling pathway,GO:0002767,A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell capable of inhibiting an immune response.
positive regulation of protein dephosphorylation,GO:0035307,"Any process that activates or increases the frequency, rate or extent of removal of phosphate groups from a protein."
negative regulation of calcium ion transport,GO:0051926,"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
regulation of long-term synaptic potentiation,GO:1900271,"Any process that modulates the frequency, rate or extent of long-term synaptic potentiation."
negative regulation of antigen processing and presentation,GO:0002578,"Any process that stops, prevents, or reduces the frequency, rate, or extent of antigen processing and presentation."
positive regulation of long-term synaptic depression,GO:1900454,"Any process that activates or increases the frequency, rate or extent of long term synaptic depression."
negative regulation of postsynaptic density organization,GO:1905875,"Any process that stops, prevents or reduces the frequency, rate or extent of postsynaptic density organization."
lipid catabolic process,GO:0016042,"The chemical reactions and pathways resulting in the breakdown of lipids, compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
phosphatidylinositol-mediated signaling,GO:0048015,A series of molecular signals in which a cell uses a phosphatidylinositol-mediated signaling to convert a signal into a response. Phosphatidylinositols include phosphatidylinositol (PtdIns) and its phosphorylated derivatives.
inositol phosphate metabolic process,GO:0043647,"The chemical reactions and pathways involving inositol phosphate, 1,2,3,4,5,6-cyclohexanehexol, with one or more phosphate groups attached."
post-Golgi vesicle-mediated transport,GO:0006892,"The directed movement of substances from the Golgi to other parts of the cell, including organelles and the plasma membrane, mediated by small transport vesicles."
cell communication,GO:0007154,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment."
Notch signaling pathway,GO:0007219,"A series of molecular signals initiated by the binding of an extracellular ligand to the receptor Notch on the surface of a target cell, and ending with regulation of a downstream cellular process, e.g. transcription."
regulation of growth,GO:0040008,"Any process that modulates the frequency, rate or extent of the growth of all or part of an organism so that it occurs at its proper speed, either globally or in a specific part of the organism's development."
regulation of cell division,GO:0051302,"Any process that modulates the frequency, rate or extent of the physical partitioning and separation of a cell into daughter cells."
regulation of cell adhesion,GO:0030155,"Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix."
regulation of blood pressure,GO:0008217,Any process that modulates the force with which blood travels through the circulatory system. The process is controlled by a balance of processes that increase pressure and decrease pressure.
regulation of neurogenesis,GO:0050767,"Any process that modulates the frequency, rate or extent of neurogenesis, the generation of cells in the nervous system."
cell fate determination,GO:0001709,"A process involved in cell fate commitment. Once determination has taken place, a cell becomes committed to differentiate down a particular pathway regardless of its environment."
somitogenesis,GO:0001756,The formation of mesodermal clusters that are arranged segmentally along the anterior posterior axis of an embryo.
heart looping,GO:0001947,The tube morphogenesis process in which the primitive heart tube loops asymmetrically. This looping brings the primitive heart chambers into alignment preceding their future integration. Heart looping begins with dextral-looping and ends when the main regional divisions of the mature heart and primordium of the great arterial trunks become established preceeding septation.
marginal zone B cell differentiation,GO:0002315,"The process in which a B cell in the spleen acquires the specialized features of a marginal zone B cell. Marginal zone B cells are localized in a distinct anatomical region of the spleen that represents the major antigen-filtering and scavenging area (by specialized macrophages resident there). It appears that they are preselected to express a BCR repertoire similar to B-1 B cells, biased toward bacterial cell wall constituents and senescent self-components (such as oxidized LDL)."
type B pancreatic cell development,GO:0003323,"The process whose specific outcome is the progression of a type B pancreatic cell over time, from its formation to the mature structure. A type B pancreatic cell is a cell located towards center of the islets of Langerhans that secretes insulin."
determination of left/right symmetry,GO:0007368,"The establishment of an organism's body plan or part of an organism with respect to the left and right halves. The pattern can either be symmetric, such that the halves are mirror images, or asymmetric where the pattern deviates from this symmetry."
proximal/distal pattern formation,GO:0009954,The regionalization process in which specific areas of cell differentiation are determined along a proximal/distal axis. The proximal/distal axis is defined by a line that runs from main body (proximal end) of an organism outward (distal end).
astrocyte development,GO:0014002,"The process aimed at the progression of an astrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function."
regulation of somitogenesis,GO:0014807,"Any process that modulates the frequency, rate or extent of somitogenesis."
spinal cord development,GO:0021510,"The process whose specific outcome is the progression of the spinal cord over time, from its formation to the mature structure. The spinal cord primarily conducts sensory and motor nerve impulses between the brain and the peripheral nervous tissues."
cerebellar molecular layer formation,GO:0021688,"The process that gives rise to the cerebellar molecular layer. This process pertains to the initial formation of a structure from unspecified parts. The molecular layer is the outermost layer of the cerebellar cortex. It contains the parallel fibers of the granule cells, interneurons such as stellate and basket cells, and the dendrites of the underlying Purkinje cells."
cerebellar Purkinje cell layer structural organization,GO:0021693,The process that contributes to the act of creating the structural organization of the cerebellar Purkinje cell layer. This process pertains to the physical shaping of a rudimentary structure. The Purkinje cell layer lies just underneath the molecular layer of the cerebellar cortex. It contains the neuronal cell bodies of the Purkinje cells that are arranged side by side in a single layer. Candelabrum interneurons are vertically oriented between the Purkinje cells. Purkinje neurons are inhibitory and provide the output of the cerebellar cortex through axons that project into the white matter. Extensive dendritic trees from the Purkinje cells extend upward in a single plane into the molecular layer where they synapse with parallel fibers of granule cells.
hemopoiesis,GO:0030097,"The process whose specific outcome is the progression of the myeloid and lymphoid derived organ/tissue systems of the blood and other parts of the body over time, from formation to the mature structure. The site of hemopoiesis is variable during development, but occurs primarily in bone marrow or kidney in many adult vertebrates."
negative regulation of epithelial cell differentiation,GO:0030857,"Any process that stops, prevents, or reduces the frequency, rate or extent of epithelial cell differentiation."
negative regulation of interleukin-10 production,GO:0032693,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-10 production."
negative regulation of glial cell apoptotic process,GO:0034351,"Any process that stops, prevents, or reduces the frequency, rate, or extent of glial cell apoptotic process."
organ growth,GO:0035265,"The increase in size or mass of an organ. Organs are commonly observed as visibly distinct structures, but may also exist as loosely associated clusters of cells that function together as to perform a specific function."
negative regulation of epidermal cell differentiation,GO:0045605,"Any process that stops, prevents, or reduces the frequency, rate or extent of epidermal cell differentiation."
negative regulation of myoblast differentiation,GO:0045662,"Any process that stops, prevents, or reduces the frequency, rate or extent of myoblast differentiation. A myoblast is a mononucleate cell type that, by fusion with other myoblasts, gives rise to the myotubes that eventually develop into skeletal muscle fibers."
negative regulation of neuron differentiation,GO:0045665,"Any process that stops, prevents, or reduces the frequency, rate or extent of neuron differentiation."
negative regulation of Notch signaling pathway,GO:0045746,"Any process that stops, prevents, or reduces the frequency, rate or extent of the Notch signaling pathway."
positive regulation of Notch signaling pathway,GO:0045747,"Any process that activates or increases the frequency, rate or extent of the Notch signaling pathway."
positive regulation of endocytosis,GO:0045807,"Any process that activates or increases the frequency, rate or extent of endocytosis."
lateral inhibition,GO:0046331,Signaling between cells of equivalent developmental potential that results in these cells adopting different developmental fates. An example is the suppression by cells with a particular fate of the adoption of the same fate by surrounding cells.
skeletal muscle tissue growth,GO:0048630,The increase in size or mass of a skeletal muscle. This may be due to a change in the fiber number or size.
regulation of skeletal muscle tissue growth,GO:0048631,"Any process that modulates the frequency, rate or extent of skeletal muscle growth."
positive regulation of skeletal muscle tissue growth,GO:0048633,"Any process that activates, maintains or increases the rate of skeletal muscle growth."
neuron fate specification,GO:0048665,"The process in which a cell becomes capable of differentiating autonomously into a neuron in an environment that is neutral with respect to the developmental pathway. Upon specification, the cell fate can be reversed."
retina development in camera-type eye,GO:0060041,"The process whose specific outcome is the progression of the retina over time, from its formation to the mature structure. The retina is the innermost layer or coating at the back of the eyeball, which is sensitive to light and in which the optic nerve terminates."
retina morphogenesis in camera-type eye,GO:0060042,The process in which the anatomical structure of the retina is generated and organized.
Notch signaling pathway involved in arterial endothelial cell fate commitment,GO:0060853,The series of molecular signals initiated by binding of an extracellular ligand to a Notch receptor on the surface of the target cell and contributing to the commitment of a cell to an arterial endothelial cell fate.
nephron development,GO:0072006,"The process whose specific outcome is the progression of the nephron over time, from its formation to the mature structure. A nephron is the functional unit of the kidney."
endothelial tip cell fate specification,GO:0097102,"The process involved in the specification of identity of an endothelial tip cell. Once specification has taken place, a cell will be committed to differentiate down a specific pathway if left in its normal environment. An endothelial tip cell is a specialized endothelial cell localized to the leading edge of an angiogenic sprout that senses extracellular signals and guides the directed growth of blood vessels."
neuronal stem cell population maintenance,GO:0097150,Any process in by an organism or tissue maintains a population of neuronal stem cells.
skin epidermis development,GO:0098773,"The process whose specific outcome is the progression of the skin epidermis over time, from its formation to the mature structure."
regulation of vascular endothelial growth factor signaling pathway,GO:1900746,"Any process that modulates the frequency, rate or extent of vascular endothelial growth factor signaling pathway."
positive regulation of sprouting angiogenesis,GO:1903672,"Any process that activates or increases the frequency, rate or extent of sprouting angiogenesis."
retinal metabolic process,GO:0042574,"The chemical reactions and pathways involving retinal, a compound that plays an important role in the visual process in most vertebrates. In the retina, retinal combines with opsins to form visual pigments. Retinal is one of the forms of vitamin A."
"tRNA splicing, via endonucleolytic cleavage and ligation",GO:0006388,"Splicing of tRNA substrates via recognition of the folded RNA structure that brings the 5' and 3' splice sites into proximity and cleavage of the RNA at both the 3' and 5' splice sites by an endonucleolytic mechanism, followed by ligation of the exons."
tRNA-type intron splice site recognition and cleavage,GO:0000379,"RNA processing that begins when the tertiary structure of a tRNA type intron is recognized, and ends when the endonucleolytic cleavage of the RNA at both the 5' and 3' splice sites occurs."
tRNA processing,GO:0008033,"The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group."
RNA phosphodiester bond hydrolysis,GO:0090501,The RNA metabolic process in which the phosphodiester bonds between ribonucleotides are cleaved by hydrolysis.
sphingolipid metabolic process,GO:0006665,"The chemical reactions and pathways involving sphingolipids, any of a class of lipids containing the long-chain amine diol sphingosine or a closely related base (a sphingoid)."
cartilage development,GO:0051216,"The process whose specific outcome is the progression of a cartilage element over time, from its formation to the mature structure. Cartilage elements are skeletal elements that consist of connective tissue dominated by extracellular matrix containing collagen type II and large amounts of proteoglycan, particularly chondroitin sulfate."
smoothened signaling pathway,GO:0007224,A series of molecular signals generated as a consequence of activation of the transmembrane protein Smoothened.
anterior/posterior pattern specification,GO:0009952,The regionalization process in which specific areas of cell differentiation are determined along the anterior-posterior axis. The anterior-posterior axis is defined by a line that runs from the head or mouth of an organism to the tail or opposite end of the organism.
positive regulation of BMP signaling pathway,GO:0030513,"Any process that activates or increases the frequency, rate or extent of BMP signaling pathway activity."
protein-containing complex assembly,GO:0065003,"The aggregation, arrangement and bonding together of a set of macromolecules to form a protein-containing complex."
positive regulation of smooth muscle cell proliferation,GO:0048661,Any process that activates or increases the rate or extent of smooth muscle cell proliferation.
central nervous system myelination,GO:0022010,The process in which neuronal axons and dendrites become coated with a segmented lipid-rich sheath (myelin) to enable faster and more energetically efficient conduction of electrical impulses. The sheath is formed by the cell membranes of oligodendrocytes in the central nervous system. Adjacent myelin segments are separated by a non-myelinated stretch of axon called a node of Ranvier.
regulation of cell differentiation,GO:0045595,"Any process that modulates the frequency, rate or extent of cell differentiation, the process in which relatively unspecialized cells acquire specialized structural and functional features."
positive regulation of tyrosine phosphorylation of STAT protein,GO:0042531,"Any process that activates or increases the frequency, rate or extent of the introduction of a phosphate group to a tyrosine residue of a STAT (Signal Transducer and Activator of Transcription) protein."
regulation of myelination,GO:0031641,"Any process that modulates the frequency, rate or extent of the formation of a myelin sheath around nerve axons."
neural tube development,GO:0021915,"The process whose specific outcome is the progression of the neural tube over time, from its formation to the mature structure. The mature structure of the neural tube exists when the tube has been segmented into the forebrain, midbrain, hindbrain and spinal cord regions. In addition neural crest has budded away from the epithelium."
oligodendrocyte development,GO:0014003,"The process aimed at the progression of an oligodendrocyte over time, from initial commitment of the cell to a specific fate, to the fully functional differentiated cell. An oligodendrocyte is a type of glial cell involved in myelinating the axons in the central nervous system."
telencephalon development,GO:0021537,"The process whose specific outcome is the progression of the telencephalon over time, from its formation to the mature structure. The telencephalon is the paired anteriolateral division of the prosencephalon plus the lamina terminalis from which the olfactory lobes, cerebral cortex, and subcortical nuclei are derived."
negative regulation of stem cell differentiation,GO:2000737,"Any process that stops, prevents or reduces the frequency, rate or extent of stem cell differentiation."
camera-type eye development,GO:0043010,"The process whose specific outcome is the progression of the camera-type eye over time, from its formation to the mature structure. The camera-type eye is an organ of sight that receives light through an aperture and focuses it through a lens, projecting it on a photoreceptor field."
positive regulation of receptor signaling pathway via JAK-STAT,GO:0046427,"Any process that activates or increases the frequency, rate or extent of the JAK-STAT signaling pathway activity."
cell maturation,GO:0048469,"A developmental process, independent of morphogenetic (shape) change, that is required for a cell to attain its fully functional state."
astrocyte differentiation,GO:0048708,The process in which a relatively unspecialized cell acquires the specialized features of an astrocyte. An astrocyte is the most abundant type of glial cell. Astrocytes provide support for neurons and regulate the environment in which they function.
negative regulation of oligodendrocyte differentiation,GO:0048715,"Any process that stops, prevents, or reduces the frequency, rate or extent of oligodendrocyte differentiation."
negative regulation of pro-B cell differentiation,GO:2000974,"Any process that stops, prevents or reduces the frequency, rate or extent of pro-B cell differentiation."
glial cell fate commitment,GO:0021781,The process in which the developmental fate of a cell becomes restricted such that it will develop into a glial cell.
negative regulation of astrocyte differentiation,GO:0048712,"Any process that stops, prevents, or reduces the frequency, rate or extent of astrocyte differentiation."
cytolysis,GO:0019835,The rupture of cell membranes and the loss of cytoplasm.
immune response-activating cell surface receptor signaling pathway,GO:0002429,A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of a cell capable of activating or perpetuating an immune response.
response to retinoic acid,GO:0032526,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a retinoic acid stimulus."
gamma-delta T cell activation,GO:0046629,"The change in morphology and behavior of a gamma-delta T cell resulting from exposure to a mitogen, cytokine, chemokine, cellular ligand, or an antigen for which it is specific."
negative regulation of defense response to virus by host,GO:0050689,"Any host process that results in the inhibition of antiviral immune response mechanisms, thereby facilitating viral replication. The host is defined as the larger of the organisms involved in a symbiotic interaction."
negative regulation of inflammatory response to antigenic stimulus,GO:0002862,"Any process that stops, prevents, or reduces the frequency, rate, or extent of an inflammatory response to an antigenic stimulus."
regulation of synaptic plasticity,GO:0048167,"A process that modulates synaptic plasticity, the ability of synapses to change as circumstances require. They may alter function, such as increasing or decreasing their sensitivity, or they may increase or decrease in actual numbers."
regulation of appetite,GO:0032098,"Any process which modulates appetite, the desire or physical craving for food."
diet induced thermogenesis,GO:0002024,The process that results in increased metabolic rate in tissues of an organism. It is triggered by the detection of dietary excess. This process is achieved via signalling in the sympathetic nervous system.
cellular water homeostasis,GO:0009992,Any process involved in the maintenance of an internal steady state of water within a cell.
hippocampus development,GO:0021766,The progression of the hippocampus over time from its initial formation until its mature state.
pancreatic juice secretion,GO:0030157,"The regulated release of pancreatic juice by the exocrine pancreas into the upper part of the intestine. Pancreatic juice is slightly alkaline and contains numerous enzymes and inactive enzyme precursors including alpha-amylase, chymotrypsinogen, lipase, procarboxypeptidase, proelastase, prophospholipase A2, ribonuclease, and trypsinogen. Its high concentration of bicarbonate ions helps to neutralize the acid from the stomach."
response to nutrient levels,GO:0031667,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of nutrients."
positive regulation of lipid catabolic process,GO:0050996,"Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of lipids."
positive regulation of pancreatic juice secretion,GO:0090187,"Any process that increases the rate, frequency or extent of pancreatic juice secretion, the regulated release of pancreatic juice by the exocrine pancreas into the upper part of the intestine."
positive regulation of somatostatin secretion,GO:0090274,"Any process that increases the rate, frequency, extent of the regulated release of somatostatin from secretory granules in the D cells of the pancreas."
negative regulation of gastrin-induced gastric acid secretion,GO:1903640,"Any process that stops, prevents or reduces the frequency, rate or extent of gastrin-induced gastric acid secretion."
phosphatidylserine biosynthetic process,GO:0006659,"The chemical reactions and pathways resulting in the formation of phosphatidylserines, any of a class of glycerophospholipids in which the phosphatidyl group is esterified to the hydroxyl group of L-serine."
sodium ion transport,GO:0006814,"The directed movement of sodium ions (Na+) into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
organic acid transmembrane transport,GO:1903825,The process in which an organic acid is transported across a membrane.
lactate transmembrane transport,GO:0035873,"The process in which lactate is transported across a membrane. Lactate is 2-hydroxypropanoate, CH3-CHOH-COOH; L(+)-lactate is formed by anaerobic glycolysis in animal tissues, and DL-lactate is found in sour milk, molasses and certain fruit juices."
NAD biosynthesis via nicotinamide riboside salvage pathway,GO:0034356,The chemical reactions and pathways resulting in the formation of nicotinamide adenine dinucleotide (NAD) from the vitamin precursor nicotinamide riboside.
propanoate transport,GO:0015730,"The directed movement of propionate into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
short-chain fatty acid import,GO:0015913,The directed movement of short-chain fatty acids into a cell or organelle. Short-chain fatty acids are fatty acids with a chain length of less than C6.
protein insertion into mitochondrial inner membrane,GO:0045039,"The processes mediating the insertion of proteins into the mitochondrial inner membrane. Mitochondrial inner membrane proteins can get inserted from the cytosol, by crossing the outer membrane and being guided by an inner membrane translocase complex into their final destination in the inner membrane. Some proteins present in the intermembrane space can get inserted into the inner mitochondrial membrane. Finally, some proteins are inserted into the inner membrane from the matrix side of the membrane."
protein transmembrane transport,GO:0071806,The process in which a protein is transported across a membrane.
protein targeting to mitochondrion,GO:0006626,"The process of directing proteins towards and into the mitochondrion, usually mediated by mitochondrial proteins that recognize signals contained within the imported protein."
calcium activated phospholipid scrambling,GO:0061588,The movement of a population of phospholipid molecules from one leaflet of the plasma membrane bilayer to the opposite leaflet as a result of a calcium stimulus.
lipid transport,GO:0006869,"The directed movement of lipids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Lipids are compounds soluble in an organic solvent but not, or sparingly, in an aqueous solvent."
chloride transport,GO:0006821,"The directed movement of chloride into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
ion transmembrane transport,GO:0034220,A process in which an ion is transported across a membrane.
sodium ion transmembrane transport,GO:0035725,A process in which a sodium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.
regulation of membrane potential,GO:0042391,"Any process that modulates the establishment or extent of a membrane potential, the electric potential existing across any membrane arising from charges in the membrane itself and from the charges present in the media on either side of the membrane."
negative regulation of interleukin-12 production,GO:0032695,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-12 production."
negative regulation of interleukin-13 production,GO:0032696,"Any process that stops, prevents, or reduces the frequency, rate, or extent of interleukin-13 production."
positive regulation of interleukin-1 beta production,GO:0032731,"Any process that activates or increases the frequency, rate, or extent of interleukin-1 beta production."
positive regulation of interleukin-10 production,GO:0032733,"Any process that activates or increases the frequency, rate, or extent of interleukin-10 production."
positive regulation of tumor necrosis factor production,GO:0032760,"Any process that activates or increases the frequency, rate or extent of tumor necrosis factor production."
positive regulation of inflammatory response,GO:0050729,"Any process that activates or increases the frequency, rate or extent of the inflammatory response."
positive regulation of cell activation,GO:0050867,"Any process that activates or increases the frequency, rate or extent of activation."
positive regulation of calcium ion transport,GO:0051928,"Any process that activates or increases the frequency, rate or extent of the directed movement of calcium ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."
positive regulation of protein tyrosine kinase activity,GO:0061098,"Any process that increases the rate, frequency, or extent of protein tyrosine kinase activity."
negative regulation of cell adhesion,GO:0007162,"Any process that stops, prevents, or reduces the frequency, rate or extent of cell adhesion."
cellular glucuronidation,GO:0052695,The modification of an organic chemical by the conjugation of glucuronic acid. The substances resulting from glucuronidation are known as glucuronosides (or glucuronides) and are often much more water-soluble than the non-glucuronic acid-containing precursor.
positive regulation of translational fidelity,GO:0045903,Any process that increases the ability of the translational apparatus to interpret the genetic code.
regulation of cytokine production,GO:0001817,"Any process that modulates the frequency, rate, or extent of production of a cytokine."
T cell receptor signaling pathway,GO:0050852,A series of molecular signals initiated by the cross-linking of an antigen receptor on a T cell.
central nervous system development,GO:0007417,"The process whose specific outcome is the progression of the central nervous system over time, from its formation to the mature structure. The central nervous system is the core nervous system that serves an integrating and coordinating function. In vertebrates it consists of the brain and spinal cord. In those invertebrates with a central nervous system it typically consists of a brain, cerebral ganglia and a nerve cord."
cellular response to interleukin-1,GO:0071347,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an interleukin-1 stimulus."
