electron transport chain,GO:0022900
respiratory system development,GO:0060541
protein ufmylation,GO:0071569
regulation of intracellular estrogen receptor signaling pathway,GO:0033146
reticulophagy,GO:0061709
protein K69-linked ufmylation,GO:1990592
negative regulation of protein import into nucleus,GO:0042308
regulation of transcription initiation from RNA polymerase II promoter,GO:0060260
negative regulation of transcription by competitive promoter binding,GO:0010944
respiratory gaseous exchange by respiratory system,GO:0007585
regulation of nuclear cell cycle DNA replication,GO:0033262
development of primary female sexual characteristics,GO:0046545
negative regulation of fibroblast proliferation,GO:0048147
negative regulation of cell proliferation involved in contact inhibition,GO:0060244
negative regulation of DNA biosynthetic process,GO:2000279
maintenance of gastrointestinal epithelium,GO:0030277
isoprenoid biosynthetic process,GO:0008299
skeletal muscle satellite cell differentiation,GO:0014816
myotube differentiation involved in skeletal muscle regeneration,GO:0014908
microvillus assembly,GO:0030033
regulation of microvillus assembly,GO:0032534
skeletal muscle cell differentiation,GO:0035914
skeletal muscle tissue regeneration,GO:0043403
positive regulation of fat cell differentiation,GO:0045600
intestinal epithelial cell development,GO:0060576
cellular response to peptide,GO:1901653
attachment of mitotic spindle microtubules to kinetochore,GO:0051315
attachment of spindle microtubules to kinetochore,GO:0008608
metaphase plate congression,GO:0051310
kinetochore organization,GO:0051383
positive regulation of mitotic cell cycle spindle assembly checkpoint,GO:0090267
positive regulation of protein localization to kinetochore,GO:1905342
protein O-linked glycosylation,GO:0006493
cardiac muscle tissue development,GO:0048738
vascular endothelial growth factor receptor signaling pathway,GO:0048010
negative regulation of vascular endothelial cell proliferation,GO:1905563
vascular endothelial growth factor signaling pathway,GO:0038084
positive regulation of phosphatidylinositol 3-kinase activity,GO:0043552
embryonic morphogenesis,GO:0048598
adrenergic receptor signaling pathway,GO:0071875
adenylate cyclase-activating adrenergic receptor signaling pathway,GO:0071880
positive regulation of vasoconstriction,GO:0045907
phospholipase C-activating G protein-coupled receptor signaling pathway,GO:0007200
positive regulation of heart rate by epinephrine-norepinephrine,GO:0001996
nail development,GO:0035878
early endosome to Golgi transport,GO:0034498
acrosome reaction,GO:0007340
protein N-linked glycosylation,GO:0006487
viral protein processing,GO:0019082
negative regulation of cysteine-type endopeptidase activity,GO:2000117
cerebral cortex neuron differentiation,GO:0021895
regulation of bone mineralization,GO:0030500
saliva secretion,GO:0046541
regulation of double-strand break repair via nonhomologous end joining,GO:2001032
negative regulation of double-strand break repair via homologous recombination,GO:2000042
positive regulation of double-strand break repair via nonhomologous end joining,GO:2001034
positive regulation of isotype switching,GO:0045830
cell aging,GO:0007569
basement membrane organization,GO:0071711
protein localization to endoplasmic reticulum,GO:0070972
spinal cord motor neuron differentiation,GO:0021522
spinal cord oligodendrocyte cell differentiation,GO:0021529
spinal cord oligodendrocyte cell fate specification,GO:0021530
optic nerve development,GO:0021554
positive regulation of neuron differentiation,GO:0045666
cell development,GO:0048468
positive regulation of oligodendrocyte differentiation,GO:0048714
cellular response to calcium ion,GO:0071277
mitochondrial transport,GO:0006839
myelination,GO:0042552
pigmentation,GO:0043473
translesion synthesis,GO:0019985
base-excision repair_ gap-filling,GO:0006287
error-prone translesion synthesis,GO:0042276
DNA-dependent DNA replication,GO:0006261
DNA damage response_ detection of DNA damage,GO:0042769
response to organophosphorus,GO:0046683
DNA synthesis involved in DNA repair,GO:0000731
telomere maintenance via semi-conservative replication,GO:0032201
positive regulation of DNA-directed DNA polymerase activity,GO:1900264
nucleotide-excision repair_ DNA gap filling,GO:0006297
error-free translesion synthesis,GO:0070987
DNA strand elongation involved in DNA replication,GO:0006271
regulation of skeletal muscle satellite cell proliferation,GO:0014842
positive regulation of histone methylation,GO:0031062
positive regulation of myoblast proliferation,GO:2000288
response to blue light,GO:0009637
positive regulation of neuroblast proliferation,GO:0002052
developmental pigmentation,GO:0048066
negative regulation of cardiac muscle cell differentiation,GO:2000726
positive regulation of epithelial to mesenchymal transition,GO:0010718
negative regulation of insulin-like growth factor receptor signaling pathway,GO:0043569
positive regulation of osteoblast differentiation,GO:0045669
bone mineralization,GO:0030282
SMAD protein signal transduction,GO:0060395
branching involved in ureteric bud morphogenesis,GO:0001658
aortic valve development,GO:0003176
atrioventricular valve morphogenesis,GO:0003181
endocardial cushion morphogenesis,GO:0003203
endocardial cushion formation,GO:0003272
positive regulation of extracellular matrix constituent secretion,GO:0003331
response to bacterium,GO:0009617
telencephalon regionalization,GO:0021978
positive regulation of osteoblast proliferation,GO:0033690
embryonic heart tube anterior/posterior pattern specification,GO:0035054
positive regulation of odontogenesis,GO:0042482
regulation of odontogenesis of dentin-containing tooth,GO:0042487
positive regulation of ossification,GO:0045778
positive regulation of astrocyte differentiation,GO:0048711
negative regulation of muscle cell differentiation,GO:0051148
cardiac muscle cell differentiation,GO:0055007
cardiac muscle tissue morphogenesis,GO:0055008
pericardium development,GO:0060039
corticotropin hormone secreting cell differentiation,GO:0060128
thyroid-stimulating hormone-secreting cell differentiation,GO:0060129
bone development,GO:0060348
positive regulation of cartilage development,GO:0061036
BMP signaling pathway involved in heart development,GO:0061312
cellular response to growth factor stimulus,GO:0071363
mesenchymal cell proliferation involved in ureteric bud development,GO:0072138
cardiac jelly development,GO:1905072
atrioventricular canal morphogenesis,GO:1905222
cellular response to BMP stimulus,GO:0071773
chondrocyte differentiation,GO:0002062
pathway-restricted SMAD protein phosphorylation,GO:0060389
cardiac epithelial to mesenchymal transition,GO:0060317
positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus,GO:1901522
bone mineralization involved in bone maturation,GO:0035630
negative regulation of Wnt signaling pathway involved in heart development,GO:0003308
negative regulation of steroid biosynthetic process,GO:0010894
positive regulation of phosphatase activity,GO:0010922
negative regulation of aldosterone biosynthetic process,GO:0032348
mesenchymal cell differentiation,GO:0048762
mesenchyme development,GO:0060485
negative regulation of cortisol biosynthetic process,GO:2000065
regulation of DNA-binding transcription factor activity,GO:0051090
positive regulation of cell cycle arrest,GO:0071158
intrinsic apoptotic signaling pathway by p53 class mediator,GO:0072332
cellular response to estradiol stimulus,GO:0071392
negative regulation of programmed cell death,GO:0043069
positive regulation of transcription regulatory region DNA binding,GO:2000679
peripheral nervous system neuron development,GO:0048935
trigeminal nerve development,GO:0021559
sensory system development,GO:0048880
innervation,GO:0060384
ventricular compact myocardium morphogenesis,GO:0003223
mesoderm development,GO:0007498
cell migration in hindbrain,GO:0021535
central nervous system neuron differentiation,GO:0021953
habenula development,GO:0021986
protein localization to membrane,GO:0072657
germ cell development,GO:0007281
negative regulation of excitatory postsynaptic potential,GO:0090394
sensory perception,GO:0007600
regulation of synaptic transmission_ GABAergic,GO:0032228
negative regulation of cold-induced thermogenesis,GO:0120163
regulation of protein-containing complex assembly,GO:0043254
positive regulation of neural precursor cell proliferation,GO:2000179
norepinephrine biosynthetic process,GO:0042421
sympathetic ganglion development,GO:0061549
noradrenergic neuron development,GO:0003358
pancreatic A cell differentiation,GO:0003310
regulation of cell cycle process,GO:0010564
endosomal transport,GO:0016197
clathrin-dependent synaptic vesicle endocytosis,GO:0150007
regulation of modification of postsynaptic actin cytoskeleton,GO:1905274
positive regulation of caveolin-mediated endocytosis,GO:2001288
filopodium assembly,GO:0046847
polyamine biosynthetic process,GO:0006596
polyamine catabolic process,GO:0006598
ubiquitin-dependent SMAD protein catabolic process,GO:0030579
positive regulation of dendrite extension,GO:1903861
ectoderm development,GO:0007398
receptor catabolic process,GO:0032801
positive regulation of ubiquitin-dependent protein catabolic process,GO:2000060
synaptic membrane adhesion,GO:0099560
transmembrane receptor protein tyrosine phosphatase signaling pathway,GO:0007185
positive regulation of dendrite morphogenesis,GO:0050775
trans-synaptic signaling by trans-synaptic complex,GO:0099545
urea transmembrane transport,GO:0071918
urea transport,GO:0015840
nucleocytoplasmic transport,GO:0006913
regulation of endocytosis,GO:0030100
neurogenesis,GO:0022008
dendrite morphogenesis,GO:0048813
xenobiotic detoxification by transmembrane export across the plasma membrane,GO:1990961
negative regulation of mitochondrial membrane permeability involved in apoptotic process,GO:1902109
fatty acid beta-oxidation,GO:0006635
synaptic vesicle transport,GO:0048489
positive regulation of substrate adhesion-dependent cell spreading,GO:1900026
negative regulation of cAMP-dependent protein kinase activity,GO:2000480
regulation of cAMP-dependent protein kinase activity,GO:2000479
regulation of protein kinase A signaling,GO:0010738
activation of protein kinase A activity,GO:0034199
cellular response to glucagon stimulus,GO:0071377
regulation of cAMP-mediated signaling,GO:0043949
positive regulation of protein import into nucleus,GO:0042307
ribosomal protein import into nucleus,GO:0006610
DNA dealkylation involved in DNA repair,GO:0006307
interleukin-27-mediated signaling pathway,GO:0070106
interleukin-35-mediated signaling pathway,GO:0070757
protein folding in endoplasmic reticulum,GO:0034975
protein autoprocessing,GO:0016540
cilium movement involved in cell motility,GO:0060294
vesicle fusion,GO:0006906
synaptic vesicle priming,GO:0016082
synaptic vesicle fusion to presynaptic active zone membrane,GO:0031629
neurotransmitter secretion,GO:0007269
synaptic vesicle docking,GO:0016081
synaptic vesicle exocytosis,GO:0016079
neurotransmitter uptake,GO:0001504
associative learning,GO:0008306
regulation of neuron projection development,GO:0010975
long-term synaptic potentiation,GO:0060291
regulation of establishment of protein localization,GO:0070201
exocytic insertion of neurotransmitter receptor to postsynaptic membrane,GO:0098967
neurotransmitter receptor internalization,GO:0099590
synaptic vesicle clustering,GO:0097091
synaptic vesicle cycle,GO:0099504
tRNA dihydrouridine synthesis,GO:0002943
cellular component organization,GO:0016043
positive regulation of myotube differentiation,GO:0010831
atrioventricular node cell development,GO:0060928
atrioventricular node development,GO:0003162
protein localization to endoplasmic reticulum exit site,GO:0070973
N-glycan processing,GO:0006491
oncostatin-M-mediated signaling pathway,GO:0038165
positive regulation of acute inflammatory response,GO:0002675
positive regulation of interleukin-17 production,GO:0032740
negative regulation of hormone secretion,GO:0046888
acylglycerol catabolic process,GO:0046464
glycerophospholipid catabolic process,GO:0046475
protein depalmitoylation,GO:0002084
response to auditory stimulus,GO:0010996
actin nucleation,GO:0045010
positive regulation of double-strand break repair,GO:2000781
intracellular transport,GO:0046907
cleavage furrow formation,GO:0036089
polar body extrusion after meiotic divisions,GO:0040038
Golgi vesicle transport,GO:0048193
establishment of meiotic spindle localization,GO:0051295
formin-nucleated actin cable assembly,GO:0070649
positive regulation of mitochondrial fission,GO:0090141
positive regulation of double-strand break repair via homologous recombination,GO:1905168
protein localization to chromatin,GO:0071168
plasma membrane phospholipid scrambling,GO:0017121
positive regulation of vascular wound healing,GO:0035470
regulation of protein stability,GO:0031647
positive regulation of TOR signaling,GO:0032008
cellular response to fluid shear stress,GO:0071498
positive regulation of transcription from RNA polymerase II promoter involved in unfolded protein response,GO:0006990
positive regulation of endoplasmic reticulum unfolded protein response,GO:1900103
positive regulation of T cell differentiation,GO:0045582
positive regulation of hepatocyte proliferation,GO:2000347
negative regulation of myotube differentiation,GO:0010832
cellular response to glucose stimulus,GO:0071333
cellular response to nutrient,GO:0031670
cellular triglyceride homeostasis,GO:0035356
positive regulation of B cell differentiation,GO:0045579
fatty acid homeostasis,GO:0055089
sterol homeostasis,GO:0055092
cellular response to fructose stimulus,GO:0071332
cellular response to interleukin-4,GO:0071353
cellular response to peptide hormone stimulus,GO:0071375
positive regulation of plasma cell differentiation,GO:1900100
response to insulin-like growth factor stimulus,GO:1990418
cellular response to laminar fluid shear stress,GO:0071499
negative regulation of endoplasmic reticulum unfolded protein response,GO:1900102
positive regulation of protein acetylation,GO:1901985
phosphatidylinositol 3-kinase signaling,GO:0014065
positive regulation of ER-associated ubiquitin-dependent protein catabolic process,GO:1903071
positive regulation of phospholipid biosynthetic process,GO:0071073
meiotic sister chromatid cohesion,GO:0051177
negative chemotaxis,GO:0050919
response to axon injury,GO:0048678
cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742
autophagy of mitochondrion,GO:0000422
positive regulation of autophagy of mitochondrion,GO:1903599
negative regulation of oxidative stress-induced neuron death,GO:1903204
negative regulation of hydrogen peroxide-induced neuron death,GO:1903208
regulation of locomotion,GO:0040012
negative regulation of G1/S transition of mitotic cell cycle,GO:2000134
negative regulation of synaptic transmission,GO:0050805
presynaptic active zone assembly,GO:1904071
regulation of synaptic vesicle clustering,GO:2000807
enteric nervous system development,GO:0048484
endothelin receptor signaling pathway,GO:0086100
negative regulation of adenylate cyclase activity,GO:0007194
vein smooth muscle contraction,GO:0014826
negative regulation of cellular protein metabolic process,GO:0032269
neural crest cell migration,GO:0001755
regulation of pH,GO:0006885
cGMP-mediated signaling,GO:0019934
melanocyte differentiation,GO:0030318
positive regulation of urine volume,GO:0035810
positive regulation of renal sodium excretion,GO:0035815
epithelial fluid transport,GO:0042045
vasodilation,GO:0042311
response to pain,GO:0048265
regulation of epithelial cell proliferation,GO:0050678
positive regulation of penile erection,GO:0060406
positive regulation of synaptic transmission_ GABAergic,GO:0032230
protein localization to synapse,GO:0035418
gephyrin clustering involved in postsynaptic density assembly,GO:0097116
postsynaptic density protein 95 clustering,GO:0097119
positive regulation of excitatory postsynaptic potential,GO:2000463
terminal button organization,GO:0072553
regulation of respiratory gaseous exchange by nervous system process,GO:0002087
positive regulation of inhibitory postsynaptic potential,GO:0097151
superoxide metabolic process,GO:0006801
superoxide anion generation,GO:0042554
flagellated sperm motility,GO:0030317
regulation of voltage-gated sodium channel activity,GO:1905150
regulation of signaling,GO:0023051
tRNA methylation,GO:0030488
tRNA modification,GO:0006400
mRNA methylation,GO:0080009
neuromuscular synaptic transmission,GO:0007274
cation transport,GO:0006812
behavioral response to nicotine,GO:0035095
muscle fiber development,GO:0048747
tRNA metabolic process,GO:0006399
fatty acid alpha-oxidation,GO:0001561
skeletal muscle tissue development,GO:0007519
autophagosome maturation,GO:0097352
nucleotide transport,GO:0006862
membrane disruption in other organism,GO:0051673
macrophage activation,GO:0042116
lipid droplet formation,GO:0140042
inner cell mass cell proliferation,GO:0001833
inhibition of cysteine-type endopeptidase activity,GO:0097340
prevention of polyspermy,GO:0060468
potassium ion import across plasma membrane,GO:1990573
calcium ion import,GO:0070509
neuronal action potential,GO:0019228
positive regulation of calcium ion-dependent exocytosis,GO:0045956
membrane depolarization during action potential,GO:0086010
sleep,GO:0030431
lens fiber cell development,GO:0070307
mRNA cis splicing_ via spliceosome,GO:0045292
brush border assembly,GO:1904970
positive regulation of axonogenesis,GO:0050772
skin development,GO:0043588
arginine transport,GO:0015809
amino acid import across plasma membrane,GO:0089718
L-arginine import across plasma membrane,GO:0097638
ornithine transport,GO:0015822
L-ornithine transmembrane transport,GO:1903352
L-lysine transmembrane transport,GO:1903401
basic amino acid transmembrane transport,GO:1990822
negative regulation of high voltage-gated calcium channel activity,GO:1901842
oligopeptide transport,GO:0006857
dipeptide import across plasma membrane,GO:0140206
actin filament depolymerization,GO:0030042
actin filament severing,GO:0051014
positive regulation of actin filament depolymerization,GO:0030836
actin polymerization or depolymerization,GO:0008154
cell motility,GO:0048870
actin filament fragmentation,GO:0030043
regulation of transcription by RNA polymerase III,GO:0006359
formation of cytoplasmic translation initiation complex,GO:0001732
cytoplasmic translational initiation,GO:0002183
positive regulation of nuclear-transcribed mRNA poly(A) tail shortening,GO:0060213
positive regulation of nuclear-transcribed mRNA catabolic process_ deadenylation-dependent decay,GO:1900153
regulation of megakaryocyte differentiation,GO:0045652
Wnt signaling pathway_ calcium modulating pathway,GO:0007223
positive regulation of miRNA mediated inhibition of translation,GO:1905618
post-transcriptional gene silencing by RNA,GO:0035194
gene silencing by miRNA,GO:0035195
regulation of neuronal synaptic plasticity,GO:0048168
response to methylmercury,GO:0051597
regulation of chondrocyte development,GO:0061181
somatic hypermutation of immunoglobulin genes,GO:0016446
poly(A)+ mRNA export from nucleus,GO:0016973
nucleosome organization,GO:0034728
long-term memory,GO:0007616
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902042
regulation of neuron migration,GO:2001222
positive regulation of protein sumoylation,GO:0033235
negative regulation of transporter activity,GO:0032410
negative regulation of protein transport,GO:0051224
positive regulation of cellular component movement,GO:0051272
negative regulation of phosphatidylinositol 3-kinase signaling,GO:0014067
negative regulation of phosphatidylinositol 3-kinase activity,GO:0043553
cellular glucose homeostasis,GO:0001678
protein acetylation,GO:0006473
cellular response to hyperoxia,GO:0071455
negative regulation of cardiac muscle hypertrophy in response to stress,GO:1903243
negative regulation of stress-activated MAPK cascade,GO:0032873
cellular response to nitric oxide,GO:0071732
regulation of type B pancreatic cell development,GO:2000074
response to insulin,GO:0032868
enamel mineralization,GO:0070166
cellular response to hydrogen peroxide,GO:0070301
cellular response to cold,GO:0070417
cellular response to dexamethasone stimulus,GO:0071549
response to fluoride,GO:1902617
myeloid cell differentiation,GO:0030099
protein localization to organelle,GO:0033365
cilium movement,GO:0003341
epithelial cilium movement involved in determination of left/right asymmetry,GO:0060287
cardiolipin acyl-chain remodeling,GO:0035965
phosphatidylethanolamine catabolic process,GO:0046338
platelet activating factor metabolic process,GO:0046469
urinary bladder smooth muscle contraction,GO:0014832
positive regulation of exocytosis,GO:0045921
maternal process involved in female pregnancy,GO:0060135
positive regulation of protein kinase C signaling,GO:0090037
peptidyl-arginine methylation,GO:0018216
peptidyl-arginine N-methylation,GO:0035246
peptidyl-arginine methylation_ to asymmetrical-dimethyl arginine,GO:0019919
histone arginine methylation,GO:0034969
negative regulation of T cell migration,GO:2000405
cellular response to chemokine,GO:1990869
negative regulation of CD4-positive_ alpha-beta T cell proliferation,GO:2000562
negative regulation of neuron projection development,GO:0010977
regulation of Cdc42 protein signal transduction,GO:0032489
maintenance of protein location in cell,GO:0032507
negative regulation of blood coagulation,GO:0030195
negative regulation of platelet activation,GO:0010544
response to X-ray,GO:0010165
response to cAMP,GO:0051591
intraciliary transport involved in cilium assembly,GO:0035735
anterograde axonal transport,GO:0008089
plus-end-directed vesicle transport along microtubule,GO:0072383
regulation of centriole replication,GO:0046599
response to pheromone,GO:0019236
sphingolipid biosynthetic process,GO:0030148
intracellular transport of virus,GO:0075733
tRNA export from nucleus,GO:0006409
protein sumoylation,GO:0016925
regulation of gene silencing by miRNA,GO:0060964
regulation of protein import into nucleus,GO:0042306
multicellular organismal water homeostasis,GO:0050891
regulation of sodium ion transmembrane transport,GO:1902305
regulation of dopamine secretion,GO:0014059
calcium-ion regulated exocytosis,GO:0017156
dense core granule cytoskeletal transport,GO:0099519
regulation of vesicle fusion,GO:0031338
negative regulation of calcium ion-dependent exocytosis,GO:0045955
negative regulation of neurotransmitter secretion,GO:0046929
negative regulation of cilium assembly,GO:1902018
astral microtubule organization,GO:0030953
positive regulation of protein localization to nucleus,GO:1900182
establishment of vesicle localization,GO:0051650
regulation of MAPK cascade,GO:0043408
adenylate cyclase-inhibiting G protein-coupled acetylcholine receptor signaling pathway,GO:0007197
DNA double-strand break processing involved in repair via single-strand annealing,GO:0010792
blastocyst hatching,GO:0001835
DNA double-strand break processing,GO:0000729
urate transport,GO:0015747
prostaglandin transport,GO:0015732
prostaglandin secretion,GO:0032310
bile acid signaling pathway,GO:0038183
ethanol oxidation,GO:0006069
glucose import across plasma membrane,GO:0098708
intestinal hexose absorption,GO:0106001
transepithelial water transport,GO:0035377
sodium ion import across plasma membrane,GO:0098719
protein deacetylation,GO:0006476
positive regulation of meiotic nuclear division,GO:0045836
cellular response to molecule of bacterial origin,GO:0071219
response to redox state,GO:0051775
histone H3 deacetylation,GO:0070932
rDNA heterochromatin assembly,GO:0000183
mitotic nuclear envelope reassembly,GO:0007084
negative regulation of defense response to bacterium,GO:1900425
negative regulation of autophagy,GO:0010507
cellular response to hepatocyte growth factor stimulus,GO:0035729
cellular lipid catabolic process,GO:0044242
cellular response to epinephrine stimulus,GO:0071872
negative regulation of transcription from RNA polymerase II promoter in response to hypoxia,GO:0061428
positive regulation of execution phase of apoptosis,GO:1900119
regulation of exit from mitosis,GO:0007096
positive regulation of oocyte maturation,GO:1900195
histone H4 deacetylation,GO:0070933
chromatin silencing at telomere,GO:0006348
peptidyl-lysine deacetylation,GO:0034983
negative regulation of striated muscle tissue development,GO:0045843
positive regulation of attachment of spindle microtubules to kinetochore,GO:0051987
tubulin deacetylation,GO:0090042
regulation of epidermal cell differentiation,GO:0045604
otolith morphogenesis,GO:0032474
intramembranous ossification,GO:0001957
positive regulation of vitamin D receptor signaling pathway,GO:0070564
IRES-dependent viral translational initiation,GO:0075522
viral translational termination-reinitiation,GO:0075525
positive regulation of mRNA binding,GO:1902416
netrin-activated signaling pathway,GO:0038007
negative regulation of netrin-activated signaling pathway,GO:1902842
spinal cord ventral commissure morphogenesis,GO:0021965
dorsal/ventral axon guidance,GO:0033563
anterior/posterior axon guidance,GO:0033564
negative regulation of collateral sprouting,GO:0048671
postsynaptic modulation of chemical synaptic transmission,GO:0099170
negative regulation of dendrite development,GO:2000171
heme biosynthetic process,GO:0006783
regulation of protein targeting to mitochondrion,GO:1903214
mitochondrial depolarization,GO:0051882
positive regulation of proteolysis involved in cellular protein catabolic process,GO:1903052
negative regulation of hydrolase activity,GO:0051346
positive regulation of autophagy of mitochondrion in response to mitochondrial depolarization,GO:1904925
regulation of response to reactive oxygen species,GO:1901031
negative regulation of TORC1 signaling,GO:1904262
DNA damage response_ signal transduction by p53 class mediator,GO:0030330
positive regulation of macroautophagy,GO:0016239
positive regulation of transcription from RNA polymerase II promoter in response to oxidative stress,GO:0036091
cellular response to leucine,GO:0071233
cellular response to leucine starvation,GO:1990253
termination of RNA polymerase II transcription,GO:0006369
rRNA catabolic process,GO:0016075
CUT catabolic process,GO:0071034
cytoplasmic sequestering of NF-kappaB,GO:0007253
regulation of actin cytoskeleton organization,GO:0032956
regulation of bone resorption,GO:0045124
multicellular organism aging,GO:0010259
forelimb morphogenesis,GO:0035136
muscle structure development,GO:0061061
seryl-tRNA aminoacylation,GO:0006434
selenocysteinyl-tRNA(Sec) biosynthetic process,GO:0097056
positive regulation of peptidyl-serine phosphorylation of STAT protein,GO:0033141
blood vessel remodeling,GO:0001974
tyrosine phosphorylation of STAT protein,GO:0007260
embryo implantation,GO:0007566
stem cell population maintenance,GO:0019827
positive regulation of cell adhesion mediated by integrin,GO:0033630
positive regulation of macrophage differentiation,GO:0045651
negative regulation of meiotic nuclear division,GO:0045835
decidualization,GO:0046697
lung alveolus development,GO:0048286
muscle organ morphogenesis,GO:0048644
leukemia inhibitory factor signaling pathway,GO:0048861
lung vasculature development,GO:0060426
lung lobe morphogenesis,GO:0060463
trophoblast giant cell differentiation,GO:0060707
spongiotrophoblast differentiation,GO:0060708
positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis,GO:0072108
regulation of metanephric nephron tubule epithelial cell differentiation,GO:0072307
regulation of RNA polymerase II regulatory region sequence-specific DNA binding,GO:1903025
depurination,GO:0045007
telomere capping,GO:0016233
UV-damage excision repair,GO:0070914
glycosylation,GO:0070085
tissue homeostasis,GO:0001894
cell projection assembly,GO:0030031
Cdc42 protein signal transduction,GO:0032488
positive regulation of retinoic acid receptor signaling pathway,GO:0048386
negative regulation of peroxisome proliferator activated receptor signaling pathway,GO:0035359
heart morphogenesis,GO:0003007
thymus development,GO:0048538
homeostasis of number of cells,GO:0048872
lung saccule development,GO:0060430
glomerular visceral epithelial cell development,GO:0072015
regulation of phosphoprotein phosphatase activity,GO:0043666
DNA methylation-dependent heterochromatin assembly,GO:0006346
positive regulation of chromatin binding,GO:0035563
maternal behavior,GO:0042711
cell-substrate adhesion,GO:0031589
kidney morphogenesis,GO:0060993
protein citrullination,GO:0018101
histone citrullination,GO:0036414
steroid catabolic process,GO:0006706
response to activity,GO:0014823
endodermal cell differentiation,GO:0035987
dendritic spine morphogenesis,GO:0060997
acetyl-CoA biosynthetic process,GO:0006085
positive regulation of peptidyl-lysine acetylation,GO:2000758
negative regulation of amyloid-beta formation,GO:1902430
negative regulation of amyloid precursor protein catabolic process,GO:1902992
mitotic cytokinesis,GO:0000281
regulation of establishment of cell polarity,GO:2000114
negative regulation of protein binding,GO:0032091
myoblast migration,GO:0051451
regulation of focal adhesion assembly,GO:0051893
aortic valve morphogenesis,GO:0003180
positive regulation of cardiac muscle hypertrophy,GO:0010613
regulation of keratinocyte differentiation,GO:0045616
mRNA destabilization,GO:0061157
negative regulation of biomineral tissue development,GO:0070168
response to transforming growth factor beta,GO:0071559
regulation of blood vessel diameter,GO:0097746
positive regulation of connective tissue replacement,GO:1905205
response to angiotensin,GO:1990776
positive regulation of focal adhesion assembly,GO:0051894
negative regulation of phosphorylation,GO:0042326
positive regulation of amyloid-beta clearance,GO:1900223
membrane to membrane docking,GO:0022614
regulation of neuron differentiation,GO:0045664
negative regulation of membrane protein ectodomain proteolysis,GO:0051045
glomerular visceral epithelial cell migration,GO:0090521
neuron projection arborization,GO:0140058
regulation of synaptic vesicle endocytosis,GO:1900242
nuclear migration,GO:0007097
nuclear envelope organization,GO:0006998
nuclear matrix anchoring at nuclear membrane,GO:0090292
nucleokinesis involved in cell motility in cerebral cortex radial glia guided migration,GO:0021817
triglyceride catabolic process,GO:0019433
cellular response to interleukin-3,GO:0036016
interleukin-3-mediated signaling pathway,GO:0038156
pulmonary valve morphogenesis,GO:0003184
Notch signaling involved in heart development,GO:0061314
endothelial cell differentiation,GO:0045446
cardiac septum morphogenesis,GO:0060411
myoblast differentiation,GO:0045445
aorta morphogenesis,GO:0035909
cardiac right ventricle morphogenesis,GO:0003215
cardiac neural crest cell development involved in outflow tract morphogenesis,GO:0061309
morphogenesis of an epithelial sheet,GO:0002011
response to muramyl dipeptide,GO:0032495
inner ear auditory receptor cell differentiation,GO:0042491
ciliary body morphogenesis,GO:0061073
pulmonary artery morphogenesis,GO:0061156
distal tubule development,GO:0072017
loop of Henle development,GO:0072070
embryonic cleavage,GO:0040016
glycosphingolipid biosynthetic process,GO:0006688
oligosaccharide metabolic process,GO:0009311
protein sialylation,GO:1990743
sialylation,GO:0097503
G protein-coupled purinergic nucleotide receptor signaling pathway,GO:0035589
negative regulation of focal adhesion assembly,GO:0051895
negative regulation of RNA polymerase II regulatory region sequence-specific DNA binding,GO:1903026
positive regulation of proton-transporting ATP synthase activity_ rotational mechanism,GO:1905273
positive regulation of endothelial cell chemotaxis,GO:2001028
negative regulation of cell migration involved in sprouting angiogenesis,GO:0090051
negative regulation of cell-substrate adhesion,GO:0010812
maintenance of lens transparency,GO:0036438
mitochondrial ADP transmembrane transport,GO:0140021
mitochondrial ATP transmembrane transport,GO:1990544
L-ascorbic acid metabolic process,GO:0019852
cellular response to ethanol,GO:0071361
tooth mineralization,GO:0034505
positive regulation of tooth mineralization,GO:0070172
Golgi to plasma membrane transport,GO:0006893
regulation of establishment or maintenance of cell polarity,GO:0032878
establishment of spindle orientation,GO:0051294
microtubule anchoring at centrosome,GO:0034454
indolalkylamine biosynthetic process,GO:0046219
secondary palate development,GO:0062009
regulation of transforming growth factor beta receptor signaling pathway,GO:0017015
activin receptor signaling pathway,GO:0032924
gastrulation,GO:0007369
mesoderm formation,GO:0001707
SMAD protein complex assembly,GO:0007183
primary miRNA processing,GO:0031053
nodal signaling pathway,GO:0038092
common-partner SMAD protein phosphorylation,GO:0007182
endoderm development,GO:0007492
signal transduction involved in regulation of gene expression,GO:0023019
adrenal gland development,GO:0030325
developmental growth,GO:0048589
embryonic foregut morphogenesis,GO:0048617
embryonic cranial skeleton morphogenesis,GO:0048701
regulation of binding,GO:0051098
blood coagulation_ fibrin clot formation,GO:0072378
positive regulation of substrate-dependent cell migration_ cell attachment to substrate,GO:1904237
negative regulation of stem cell proliferation,GO:2000647
barbed-end actin filament capping,GO:0051016
myofibril assembly,GO:0030239
regulation of DNA-templated transcription in response to stress,GO:0043620
hepatocyte proliferation,GO:0072574
positive regulation of hepatic stellate cell activation,GO:2000491
startle response,GO:0001964
lens development in camera-type eye,GO:0002088
