process,go,genes,id
post-embryonic development,GO:0009791,ENSG00000116539;ENSG00000117139;ENSG00000143845;ENSG00000107485;ENSG00000150347;ENSG00000166224;ENSG00000119919;ENSG00000165646;ENSG00000066468;ENSG00000107679;ENSG00000110693;ENSG00000052850;ENSG00000172893;ENSG00000165458;ENSG00000149311;ENSG00000111678;ENSG00000139610;ENSG00000171310;ENSG00000111245;ENSG00000125378;ENSG00000080815;ENSG00000127152;ENSG00000182636;ENSG00000140505;ENSG00000136381;ENSG00000138834;ENSG00000108588;ENSG00000175387;ENSG00000171791;ENSG00000105649;ENSG00000104884;ENSG00000104881;ENSG00000087088;ENSG00000084674;ENSG00000135638;ENSG00000153094;ENSG00000153234;ENSG00000144290;ENSG00000169432;ENSG00000163482;ENSG00000163273;ENSG00000204120;ENSG00000169136;ENSG00000126003;ENSG00000087460;ENSG00000159256;ENSG00000159307;ENSG00000150995;ENSG00000114739;ENSG00000144655;ENSG00000173706;ENSG00000120742;ENSG00000163659;ENSG00000187821;ENSG00000250722;ENSG00000113327;ENSG00000112294;ENSG00000146085;ENSG00000057657;ENSG00000112096;ENSG00000197081;ENSG00000075223;ENSG00000128573;ENSG00000104331;ENSG00000123908;ENSG00000122729;ENSG00000106799;ENSG00000186051;ENSG00000056586;ENSG00000097007;ENSG00000169057;ENSG00000117054;ENSG00000198198;ENSG00000198793;,726
interleukin-6 production,GO:0032635,ENSG00000116539;ENSG00000142224;ENSG00000150782;ENSG00000174992;ENSG00000007171;ENSG00000184988;ENSG00000123154;ENSG00000063176;ENSG00000239998;ENSG00000115607;ENSG00000125538;ENSG00000163512;ENSG00000174697;ENSG00000142867;,727
negative regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043124,ENSG00000116539;ENSG00000015171;ENSG00000123240;ENSG00000096717;ENSG00000174885;ENSG00000084207;ENSG00000160703;ENSG00000012504;ENSG00000100614;ENSG00000169918;ENSG00000137802;ENSG00000069667;ENSG00000167984;ENSG00000103490;ENSG00000103194;ENSG00000179094;ENSG00000126368;ENSG00000101782;ENSG00000105298;ENSG00000167604;ENSG00000213889;ENSG00000105483;ENSG00000142405;ENSG00000138032;ENSG00000136560;ENSG00000115415;ENSG00000064012;ENSG00000067560;ENSG00000213186;ENSG00000181092;ENSG00000168421;ENSG00000050730;ENSG00000145901;ENSG00000137275;ENSG00000204599;ENSG00000118503;ENSG00000091831;ENSG00000196781;ENSG00000165233;ENSG00000136848;ENSG00000097007;ENSG00000101997;ENSG00000116478;ENSG00000163874;,728
decidualization,GO:0046697,ENSG00000116539;ENSG00000158796;ENSG00000073756;ENSG00000133895;ENSG00000111424;ENSG00000111012;ENSG00000165474;ENSG00000102882;ENSG00000159713;ENSG00000172270;ENSG00000187266;ENSG00000171223;ENSG00000163792;ENSG00000124212;ENSG00000100030;ENSG00000128342;ENSG00000157017;ENSG00000121853;ENSG00000118785;ENSG00000113739;ENSG00000112033;ENSG00000152661;ENSG00000164442;ENSG00000105894;ENSG00000164733;ENSG00000159167;ENSG00000136943;,729
sebaceous gland development,GO:0048733,ENSG00000116539;ENSG00000185069;ENSG00000141646;ENSG00000167769;ENSG00000135925;ENSG00000168214;ENSG00000175893;,730
histone H3-K4 methylation,GO:0051568,ENSG00000116539;ENSG00000117222;ENSG00000170788;ENSG00000133665;ENSG00000118058;ENSG00000167548;ENSG00000139718;ENSG00000183576;ENSG00000154832;ENSG00000162961;ENSG00000170364;ENSG00000164091;ENSG00000196981;ENSG00000164256;ENSG00000055609;ENSG00000157212;ENSG00000129691;ENSG00000196363;ENSG00000147050;ENSG00000147180;,731
uterus morphogenesis,GO:0061038,ENSG00000116539;ENSG00000117139;ENSG00000137868;ENSG00000158955;ENSG00000154764;ENSG00000164190;,732
mitochondrion organization,GO:0007005,ENSG00000125459;ENSG00000117280;ENSG00000143799;ENSG00000162851;ENSG00000136758;ENSG00000108064;ENSG00000107815;ENSG00000148840;ENSG00000165672;ENSG00000142082;ENSG00000173153;ENSG00000123892;ENSG00000215021;ENSG00000139197;ENSG00000087470;ENSG00000188906;ENSG00000110955;ENSG00000135148;ENSG00000089163;ENSG00000089041;ENSG00000063761;ENSG00000104064;ENSG00000129003;ENSG00000140983;ENSG00000103423;ENSG00000197912;ENSG00000167716;ENSG00000132361;ENSG00000132530;ENSG00000006695;ENSG00000177427;ENSG00000178307;ENSG00000126858;ENSG00000167085;ENSG00000256525;ENSG00000141385;ENSG00000099821;ENSG00000196365;ENSG00000105649;ENSG00000121289;ENSG00000245848;ENSG00000143919;ENSG00000116016;ENSG00000115317;ENSG00000074582;ENSG00000154639;ENSG00000154727;ENSG00000250479;ENSG00000023330;ENSG00000114120;ENSG00000198836;ENSG00000109819;ENSG00000164362;ENSG00000049883;ENSG00000112893;ENSG00000164209;ENSG00000161011;ENSG00000124523;ENSG00000135537;ENSG00000146410;ENSG00000112414;ENSG00000112425;ENSG00000118508;ENSG00000029639;ENSG00000112096;ENSG00000185345;ENSG00000172115;ENSG00000146729;ENSG00000106153;ENSG00000127989;ENSG00000105971;ENSG00000106459;ENSG00000106028;ENSG00000164867;ENSG00000164885;ENSG00000066855;ENSG00000104381;ENSG00000179526;ENSG00000221829;ENSG00000165283;ENSG00000165060;ENSG00000135049;ENSG00000072506;ENSG00000165240;ENSG00000172534;ENSG00000162600;ENSG00000117305;ENSG00000130766;ENSG00000158828;ENSG00000048707;ENSG00000215915;ENSG00000160072;ENSG00000197785;ENSG00000116288;ENSG00000171612;,733
mitotic spindle assembly,GO:0090307,ENSG00000125459;ENSG00000117650;ENSG00000138160;ENSG00000108055;ENSG00000165660;ENSG00000107949;ENSG00000094914;ENSG00000204899;ENSG00000083535;ENSG00000198718;ENSG00000103769;ENSG00000010244;ENSG00000108424;ENSG00000089685;ENSG00000101639;ENSG00000099812;ENSG00000189350;ENSG00000074054;ENSG00000088325;ENSG00000101350;ENSG00000101057;ENSG00000183765;ENSG00000163539;ENSG00000067560;ENSG00000163946;ENSG00000163611;ENSG00000118007;ENSG00000163322;ENSG00000164114;ENSG00000068796;ENSG00000237649;ENSG00000104728;ENSG00000167702;ENSG00000167110;ENSG00000072501;ENSG00000101966;ENSG00000101972;ENSG00000196924;ENSG00000117399;ENSG00000116213;,734
mitochondrion distribution,GO:0048311,ENSG00000125459;ENSG00000068305;ENSG00000173805;ENSG00000167654;ENSG00000188687;ENSG00000115993;ENSG00000182606;ENSG00000171100;,735
mitotic sister chromatid segregation,GO:0000070,ENSG00000125459;ENSG00000117650;ENSG00000117697;ENSG00000122952;ENSG00000154473;ENSG00000121621;ENSG00000149503;ENSG00000086827;ENSG00000135476;ENSG00000132341;ENSG00000128944;ENSG00000128908;ENSG00000137804;ENSG00000166851;ENSG00000167842;ENSG00000076382;ENSG00000010244;ENSG00000131462;ENSG00000037042;ENSG00000186185;ENSG00000080986;ENSG00000163535;ENSG00000149636;ENSG00000100084;ENSG00000099910;ENSG00000129810;ENSG00000113810;ENSG00000164109;ENSG00000123219;ENSG00000237649;ENSG00000125337;ENSG00000146918;ENSG00000072501;ENSG00000134690;ENSG00000116213;,736
mitochondrial genome maintenance,GO:0000002,ENSG00000125459;ENSG00000117020;ENSG00000140451;ENSG00000068305;ENSG00000196365;ENSG00000115204;ENSG00000125871;ENSG00000025708;ENSG00000114120;ENSG00000198836;ENSG00000151729;ENSG00000171612;,737
B cell differentiation,GO:0030183,ENSG00000163374;ENSG00000116580;ENSG00000198400;ENSG00000081237;ENSG00000136634;ENSG00000117322;ENSG00000067082;ENSG00000152457;ENSG00000150093;ENSG00000152804;ENSG00000095585;ENSG00000119919;ENSG00000166349;ENSG00000175097;ENSG00000149177;ENSG00000156738;ENSG00000175505;ENSG00000110719;ENSG00000111732;ENSG00000122025;ENSG00000126804;ENSG00000165409;ENSG00000169856;ENSG00000182885;ENSG00000197943;ENSG00000132522;ENSG00000108840;ENSG00000007312;ENSG00000175354;ENSG00000171791;ENSG00000071564;ENSG00000178951;ENSG00000104903;ENSG00000105639;ENSG00000153879;ENSG00000105369;ENSG00000095752;ENSG00000151694;ENSG00000095002;ENSG00000172845;ENSG00000115232;ENSG00000187736;ENSG00000068024;ENSG00000100393;ENSG00000235568;ENSG00000145041;ENSG00000064835;ENSG00000144840;ENSG00000113916;ENSG00000168214;ENSG00000157404;ENSG00000145675;ENSG00000113520;ENSG00000198286;ENSG00000048052;ENSG00000122678;ENSG00000188763;ENSG00000128590;ENSG00000076554;ENSG00000079112;ENSG00000177047;ENSG00000137080;ENSG00000147873;ENSG00000120235;ENSG00000233816;ENSG00000188379;ENSG00000120242;ENSG00000197919;ENSG00000184995;ENSG00000147896;ENSG00000102245;ENSG00000162692;,738
vesicle fusion,GO:0006906,ENSG00000132718;ENSG00000135823;ENSG00000143740;ENSG00000019505;ENSG00000166900;ENSG00000162236;ENSG00000139190;ENSG00000111731;ENSG00000118308;ENSG00000102189;ENSG00000111450;ENSG00000092531;ENSG00000099365;ENSG00000103496;ENSG00000220205;ENSG00000170310;ENSG00000108587;ENSG00000132872;ENSG00000104915;ENSG00000135636;ENSG00000118640;ENSG00000132639;ENSG00000124222;ENSG00000099940;ENSG00000178750;ENSG00000079950;ENSG00000135604;ENSG00000106089;ENSG00000105971;ENSG00000171045;ENSG00000136874;ENSG00000124333;ENSG00000065135;ENSG00000134215;ENSG00000117758;ENSG00000049245;,739
calcium-ion regulated exocytosis,GO:0017156,ENSG00000132718;ENSG00000143858;ENSG00000204176;ENSG00000107758;ENSG00000149043;ENSG00000170743;ENSG00000019505;ENSG00000011347;ENSG00000173227;ENSG00000110975;ENSG00000067715;ENSG00000187446;ENSG00000103528;ENSG00000140750;ENSG00000220205;ENSG00000132872;ENSG00000141837;ENSG00000105649;ENSG00000213023;ENSG00000129990;ENSG00000091428;ENSG00000157152;ENSG00000079841;ENSG00000006747;ENSG00000106089;ENSG00000176406;ENSG00000124333;ENSG00000134207;ENSG00000117016;ENSG00000078808;ENSG00000049245;,740
regulation of calcium ion-dependent exocytosis,GO:0017158,ENSG00000132718;ENSG00000143858;ENSG00000204176;ENSG00000149043;ENSG00000170743;ENSG00000019505;ENSG00000011347;ENSG00000173227;ENSG00000110975;ENSG00000067715;ENSG00000103528;ENSG00000149927;ENSG00000181031;ENSG00000132872;ENSG00000141837;ENSG00000213023;ENSG00000129990;ENSG00000134207;,741
negative regulation of phagocytosis,GO:0050765,ENSG00000132718;ENSG00000072694;ENSG00000171862;ENSG00000103653;ENSG00000196415;ENSG00000064666;ENSG00000105329;ENSG00000135636;ENSG00000198053;ENSG00000144848;ENSG00000181092;ENSG00000137462;ENSG00000204628;ENSG00000057663;ENSG00000112335;ENSG00000155099;,742
negative regulation of cytokine secretion,GO:0050710,ENSG00000132718;ENSG00000072694;ENSG00000122862;ENSG00000186188;ENSG00000205213;ENSG00000137507;ENSG00000102760;ENSG00000176194;ENSG00000142405;ENSG00000171522;ENSG00000124508;ENSG00000204619;ENSG00000048052;ENSG00000049768;ENSG00000186827;,743
negative regulation of microglial cell activation,GO:1903979,ENSG00000132718;ENSG00000081237;ENSG00000006210;ENSG00000126368;ENSG00000030582;ENSG00000130164;ENSG00000077984;ENSG00000184599;,744
negative regulation of endocytosis,GO:0045806,ENSG00000132718;ENSG00000165912;ENSG00000087053;ENSG00000184304;ENSG00000131981;ENSG00000198794;ENSG00000173548;ENSG00000064687;ENSG00000100266;ENSG00000044524;ENSG00000145016;ENSG00000175471;ENSG00000124507;ENSG00000148356;,745
negative regulation of tumor necrosis factor secretion,GO:1904468,ENSG00000132718;ENSG00000012504;ENSG00000081181;ENSG00000006210;ENSG00000104998;ENSG00000125571;ENSG00000157017;ENSG00000121853;ENSG00000163874;,746
plasma membrane repair,GO:0001778,ENSG00000132718;ENSG00000138119;ENSG00000011347;ENSG00000177238;ENSG00000133026;ENSG00000105649;ENSG00000135636;ENSG00000100345;ENSG00000182533;ENSG00000197043;ENSG00000102362;,747
response to wounding,GO:0009611,ENSG00000132718;ENSG00000092969;ENSG00000099250;ENSG00000152804;ENSG00000148926;ENSG00000133800;ENSG00000007372;ENSG00000110436;ENSG00000110492;ENSG00000180210;ENSG00000137648;ENSG00000134954;ENSG00000110799;ENSG00000215021;ENSG00000111790;ENSG00000125084;ENSG00000111087;ENSG00000139515;ENSG00000185650;ENSG00000071246;ENSG00000140285;ENSG00000140465;ENSG00000140526;ENSG00000183454;ENSG00000102934;ENSG00000039523;ENSG00000065559;ENSG00000131095;ENSG00000159184;ENSG00000161509;ENSG00000132470;ENSG00000123154;ENSG00000127533;ENSG00000128016;ENSG00000087088;ENSG00000167755;ENSG00000129455;ENSG00000152518;ENSG00000163083;ENSG00000115414;ENSG00000135919;ENSG00000196562;ENSG00000087586;ENSG00000100311;ENSG00000168329;ENSG00000163823;ENSG00000121807;ENSG00000233276;ENSG00000172020;ENSG00000051382;ENSG00000163864;ENSG00000181449;ENSG00000109205;ENSG00000164305;ENSG00000079215;ENSG00000131711;ENSG00000164220;ENSG00000181104;ENSG00000204531;ENSG00000204305;ENSG00000151914;ENSG00000118520;ENSG00000118523;ENSG00000197461;ENSG00000136238;ENSG00000182158;ENSG00000164885;ENSG00000136997;ENSG00000041982;ENSG00000121933;ENSG00000117318;ENSG00000173614;,748
negative regulation of dopamine secretion,GO:0033602,ENSG00000132718;ENSG00000149295;ENSG00000183044;ENSG00000118432;,749
negative regulation of neurotransmitter secretion,GO:0046929,ENSG00000132718;ENSG00000170385;ENSG00000110881;ENSG00000196712;ENSG00000132872;ENSG00000127838;,750
negative regulation of clathrin-dependent endocytosis,GO:1900186,ENSG00000132718;ENSG00000140600;ENSG00000109103;ENSG00000188021;,751
neuropeptide signaling pathway,GO:0007218,ENSG00000173080;ENSG00000204174;ENSG00000148734;ENSG00000156395;ENSG00000108018;ENSG00000119973;ENSG00000110680;ENSG00000183134;ENSG00000069482;ENSG00000123901;ENSG00000137642;ENSG00000139574;ENSG00000139572;ENSG00000166863;ENSG00000182379;ENSG00000133636;ENSG00000183395;ENSG00000152207;ENSG00000213906;ENSG00000213903;ENSG00000139874;ENSG00000166922;ENSG00000092445;ENSG00000197696;ENSG00000162009;ENSG00000183971;ENSG00000180269;ENSG00000159723;ENSG00000161610;ENSG00000108849;ENSG00000131096;ENSG00000182575;ENSG00000180616;ENSG00000182687;ENSG00000181408;ENSG00000141433;ENSG00000185231;ENSG00000134443;ENSG00000166573;ENSG00000116014;ENSG00000142538;ENSG00000197487;ENSG00000169006;ENSG00000115138;ENSG00000163794;ENSG00000169618;ENSG00000144227;ENSG00000183671;ENSG00000171596;ENSG00000171551;ENSG00000101327;ENSG00000101292;ENSG00000132671;ENSG00000101188;ENSG00000125510;ENSG00000125522;ENSG00000128310;ENSG00000128285;ENSG00000163421;ENSG00000174948;ENSG00000184985;ENSG00000109255;ENSG00000056291;ENSG00000186867;ENSG00000185149;ENSG00000109738;ENSG00000109756;ENSG00000164128;ENSG00000164129;ENSG00000109472;ENSG00000145451;ENSG00000182631;ENSG00000164326;ENSG00000145888;ENSG00000132911;ENSG00000137252;ENSG00000152034;ENSG00000112038;ENSG00000122585;ENSG00000187258;ENSG00000241258;ENSG00000006128;ENSG00000170775;ENSG00000168081;ENSG00000082556;ENSG00000181195;ENSG00000188710;ENSG00000101850;ENSG00000101958;ENSG00000126010;ENSG00000102109;ENSG00000173198;ENSG00000009694;ENSG00000134243;ENSG00000116329;ENSG00000121764;ENSG00000175206;ENSG00000120937;,752
positive regulation of feeding behavior,GO:2000253,ENSG00000173080;ENSG00000070761;ENSG00000159723;ENSG00000157017;ENSG00000119508;ENSG00000172410;ENSG00000118473;,753
negative regulation of extrinsic apoptotic signaling pathway via death domain receptors,GO:1902042,ENSG00000116584;ENSG00000162734;ENSG00000117560;ENSG00000026103;ENSG00000148841;ENSG00000168040;ENSG00000135472;ENSG00000170633;ENSG00000102871;ENSG00000092871;ENSG00000012048;ENSG00000090339;ENSG00000003402;ENSG00000064012;ENSG00000135926;ENSG00000215397;ENSG00000171552;ENSG00000100292;ENSG00000132155;ENSG00000233276;ENSG00000082701;ENSG00000158234;ENSG00000121858;ENSG00000145423;ENSG00000171564;ENSG00000171560;ENSG00000171557;ENSG00000164104;ENSG00000137275;ENSG00000112175;ENSG00000118503;ENSG00000019991;ENSG00000106366;ENSG00000164867;ENSG00000120889;ENSG00000104689;ENSG00000127191;ENSG00000215301;,754
cellular response to muramyl dipeptide,GO:0071225,ENSG00000116584;ENSG00000026025;ENSG00000167207;ENSG00000146063;ENSG00000106100;ENSG00000104312;ENSG00000086065;ENSG00000182195;ENSG00000134242;,755
positive regulation of neuron differentiation,GO:0045666,ENSG00000116584;ENSG00000198797;ENSG00000162670;ENSG00000148516;ENSG00000107562;ENSG00000122859;ENSG00000171862;ENSG00000176697;ENSG00000110107;ENSG00000158555;ENSG00000137672;ENSG00000149557;ENSG00000064309;ENSG00000120833;ENSG00000139352;ENSG00000176165;ENSG00000129514;ENSG00000125378;ENSG00000140254;ENSG00000140262;ENSG00000140299;ENSG00000169375;ENSG00000140600;ENSG00000138834;ENSG00000167191;ENSG00000177508;ENSG00000167740;ENSG00000213859;ENSG00000128482;ENSG00000171532;ENSG00000131759;ENSG00000008294;ENSG00000108960;ENSG00000035862;ENSG00000154059;ENSG00000196628;ENSG00000071564;ENSG00000064961;ENSG00000176887;ENSG00000143869;ENSG00000084676;ENSG00000074047;ENSG00000128652;ENSG00000162992;ENSG00000174453;ENSG00000125845;ENSG00000125820;ENSG00000088305;ENSG00000125965;ENSG00000214078;ENSG00000118707;ENSG00000101144;ENSG00000183036;ENSG00000077092;ENSG00000067560;ENSG00000153266;ENSG00000179348;ENSG00000114346;ENSG00000114867;ENSG00000244405;ENSG00000113916;ENSG00000184160;ENSG00000109132;ENSG00000084093;ENSG00000163623;ENSG00000131711;ENSG00000081189;ENSG00000181965;ENSG00000183072;ENSG00000153162;ENSG00000151917;ENSG00000136297;ENSG00000188730;ENSG00000130427;ENSG00000091129;ENSG00000128610;ENSG00000077782;ENSG00000156466;ENSG00000107077;ENSG00000119401;ENSG00000078725;ENSG00000198947;ENSG00000126970;ENSG00000186462;ENSG00000072315;ENSG00000134259;ENSG00000173406;ENSG00000131914;ENSG00000163909;ENSG00000158747;,756
negative regulation of microtubule depolymerization,GO:0007026,ENSG00000116584;ENSG00000118200;ENSG00000067798;ENSG00000136108;ENSG00000128881;ENSG00000166503;ENSG00000185043;ENSG00000166780;ENSG00000140854;ENSG00000160551;ENSG00000115266;ENSG00000076826;ENSG00000138100;ENSG00000074054;ENSG00000101222;ENSG00000088325;ENSG00000163539;ENSG00000163635;ENSG00000180834;ENSG00000131711;ENSG00000134982;ENSG00000104435;ENSG00000130559;ENSG00000101871;ENSG00000165175;ENSG00000094631;ENSG00000129682;,757
cell morphogenesis,GO:0000902,ENSG00000116584;ENSG00000143194;ENSG00000092969;ENSG00000107485;ENSG00000107798;ENSG00000151651;ENSG00000166341;ENSG00000110693;ENSG00000086991;ENSG00000137693;ENSG00000149577;ENSG00000151490;ENSG00000111424;ENSG00000123338;ENSG00000075856;ENSG00000084112;ENSG00000089041;ENSG00000073910;ENSG00000139880;ENSG00000092108;ENSG00000166923;ENSG00000166947;ENSG00000150394;ENSG00000140937;ENSG00000179776;ENSG00000205220;ENSG00000185245;ENSG00000125686;ENSG00000161594;ENSG00000108379;ENSG00000141380;ENSG00000101542;ENSG00000171791;ENSG00000081138;ENSG00000071991;ENSG00000127528;ENSG00000162981;ENSG00000115112;ENSG00000061676;ENSG00000082146;ENSG00000036257;ENSG00000171456;ENSG00000101109;ENSG00000149654;ENSG00000100373;ENSG00000134086;ENSG00000067560;ENSG00000114346;ENSG00000113838;ENSG00000113916;ENSG00000087274;ENSG00000163132;ENSG00000157796;ENSG00000075539;ENSG00000138771;ENSG00000145526;ENSG00000154162;ENSG00000040731;ENSG00000113100;ENSG00000113361;ENSG00000168685;ENSG00000214944;ENSG00000113163;ENSG00000132842;ENSG00000164403;ENSG00000061492;ENSG00000113712;ENSG00000055163;ENSG00000112186;ENSG00000204482;ENSG00000112062;ENSG00000124659;ENSG00000146648;ENSG00000019991;ENSG00000128536;ENSG00000120885;ENSG00000157168;ENSG00000147596;ENSG00000182197;ENSG00000137090;ENSG00000102218;ENSG00000125676;ENSG00000131236;ENSG00000133216;ENSG00000077549;ENSG00000162493;,758
positive regulation of tumor necrosis factor production,GO:0032760,ENSG00000116584;ENSG00000158869;ENSG00000081237;ENSG00000006071;ENSG00000149177;ENSG00000168040;ENSG00000150455;ENSG00000110944;ENSG00000179295;ENSG00000189403;ENSG00000100968;ENSG00000172575;ENSG00000103490;ENSG00000167207;ENSG00000051523;ENSG00000127666;ENSG00000088888;ENSG00000129988;ENSG00000124198;ENSG00000240972;ENSG00000099977;ENSG00000172936;ENSG00000239732;ENSG00000113811;ENSG00000181722;ENSG00000159674;ENSG00000163737;ENSG00000137462;ENSG00000164342;ENSG00000016082;ENSG00000145675;ENSG00000170458;ENSG00000113302;ENSG00000137275;ENSG00000204592;ENSG00000196591;ENSG00000122691;ENSG00000106100;ENSG00000135218;ENSG00000174697;ENSG00000120885;ENSG00000154589;ENSG00000104312;ENSG00000096968;ENSG00000172724;ENSG00000136869;ENSG00000187796;ENSG00000122122;ENSG00000116824;ENSG00000169403;ENSG00000116478;,759
cellular hyperosmotic response,GO:0071474,ENSG00000116584;ENSG00000198771;ENSG00000060138;ENSG00000109339;ENSG00000240583;ENSG00000130427;ENSG00000117394;ENSG00000116285;,760
negative regulation of intrinsic apoptotic signaling pathway in response to osmotic stress,GO:1902219,ENSG00000116584;ENSG00000073756;ENSG00000060138;ENSG00000168398;ENSG00000130427;,761
negative regulation of necroptotic process,GO:0060546,ENSG00000116584;ENSG00000168040;ENSG00000023445;ENSG00000110330;ENSG00000060138;ENSG00000197329;ENSG00000003402;ENSG00000064012;ENSG00000176720;ENSG00000125826;ENSG00000151729;ENSG00000137275;ENSG00000188763;ENSG00000105974;,762
asymmetric neuroblast division,GO:0055059,ENSG00000116584;ENSG00000134532;ENSG00000007866;,763
establishment of mitotic spindle orientation,GO:0000132,ENSG00000116584;ENSG00000150093;ENSG00000107949;ENSG00000007372;ENSG00000137497;ENSG00000086827;ENSG00000136158;ENSG00000072864;ENSG00000166851;ENSG00000007168;ENSG00000166579;ENSG00000080986;ENSG00000099812;ENSG00000115163;ENSG00000204843;ENSG00000088833;ENSG00000197386;ENSG00000164109;ENSG00000164056;ENSG00000070193;ENSG00000040275;ENSG00000072803;ENSG00000152661;ENSG00000146425;ENSG00000147316;ENSG00000215114;ENSG00000136861;ENSG00000186193;ENSG00000121957;,764
negative regulation of neurogenesis,GO:0050768,ENSG00000116584;ENSG00000154342;ENSG00000154370;ENSG00000107779;ENSG00000107859;ENSG00000006071;ENSG00000007372;ENSG00000137642;ENSG00000136044;ENSG00000166710;ENSG00000166450;ENSG00000087250;ENSG00000172156;ENSG00000090932;ENSG00000125538;ENSG00000144579;ENSG00000101144;ENSG00000154764;ENSG00000168036;ENSG00000084093;ENSG00000232810;ENSG00000146425;ENSG00000136244;ENSG00000078674;ENSG00000168172;ENSG00000078725;ENSG00000106689;ENSG00000148400;,765
cotranslational protein targeting to membrane,GO:0006613,ENSG00000163479;ENSG00000182934;ENSG00000140319;ENSG00000170540;ENSG00000058262;ENSG00000008952;ENSG00000153037;ENSG00000124783;ENSG00000067167;,766
negative regulation of double-strand break repair via homologous recombination,GO:2000042,ENSG00000160803;ENSG00000134452;ENSG00000122376;ENSG00000127311;ENSG00000185480;ENSG00000067369;ENSG00000175643;ENSG00000108469;ENSG00000101596;ENSG00000080345;ENSG00000171984;ENSG00000051341;ENSG00000177383;ENSG00000253251;ENSG00000164430;ENSG00000181544;ENSG00000174010;ENSG00000147231;ENSG00000116670;,767
regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0032434,ENSG00000160803;ENSG00000169884;ENSG00000179262;ENSG00000130311;ENSG00000082898;ENSG00000173163;ENSG00000100418;ENSG00000078140;ENSG00000137273;ENSG00000014123;ENSG00000146535;ENSG00000119318;ENSG00000078061;ENSG00000174842;,768
negative regulation of autophagosome maturation,GO:1901097,ENSG00000160803;ENSG00000038532;ENSG00000040633;ENSG00000176142;ENSG00000145016;,769
positive regulation of TOR signaling,GO:0032008,ENSG00000116586;ENSG00000117020;ENSG00000149357;ENSG00000183087;ENSG00000127580;ENSG00000167965;ENSG00000103091;ENSG00000154803;ENSG00000176994;ENSG00000141564;ENSG00000085415;ENSG00000157020;ENSG00000121879;ENSG00000109270;ENSG00000113384;ENSG00000164327;ENSG00000177058;ENSG00000217128;ENSG00000171720;ENSG00000133706;ENSG00000095970;ENSG00000025039;ENSG00000164654;ENSG00000188186;ENSG00000189056;ENSG00000174697;ENSG00000106615;ENSG00000155876;ENSG00000083750;ENSG00000134248;ENSG00000131914;ENSG00000116954;ENSG00000158748;,770
cellular response to amino acid stimulus,GO:0071230,ENSG00000116586;ENSG00000162909;ENSG00000148516;ENSG00000107864;ENSG00000107954;ENSG00000149357;ENSG00000149212;ENSG00000170962;ENSG00000065150;ENSG00000187498;ENSG00000129473;ENSG00000214575;ENSG00000185338;ENSG00000087245;ENSG00000051523;ENSG00000108821;ENSG00000141564;ENSG00000130816;ENSG00000119772;ENSG00000168542;ENSG00000204262;ENSG00000130147;ENSG00000171552;ENSG00000172216;ENSG00000142156;ENSG00000100219;ENSG00000134853;ENSG00000138668;ENSG00000109270;ENSG00000145431;ENSG00000177058;ENSG00000133706;ENSG00000145888;ENSG00000113742;ENSG00000232810;ENSG00000025039;ENSG00000080546;ENSG00000146648;ENSG00000164692;ENSG00000188186;ENSG00000185122;ENSG00000155876;ENSG00000148053;ENSG00000130707;ENSG00000165802;ENSG00000101958;ENSG00000083750;ENSG00000165240;ENSG00000197565;ENSG00000134248;ENSG00000130766;ENSG00000084636;ENSG00000116954;ENSG00000198793;,771
regulation of cell growth,GO:0001558,ENSG00000116586;ENSG00000132694;ENSG00000162761;ENSG00000116183;ENSG00000134371;ENSG00000118193;ENSG00000135744;ENSG00000173848;ENSG00000065675;ENSG00000185737;ENSG00000138193;ENSG00000107821;ENSG00000188613;ENSG00000166333;ENSG00000074319;ENSG00000068831;ENSG00000149357;ENSG00000139182;ENSG00000120833;ENSG00000111666;ENSG00000139687;ENSG00000140092;ENSG00000103274;ENSG00000149930;ENSG00000050820;ENSG00000103175;ENSG00000109084;ENSG00000141753;ENSG00000167895;ENSG00000141564;ENSG00000082397;ENSG00000118046;ENSG00000105176;ENSG00000130669;ENSG00000090006;ENSG00000269858;ENSG00000079385;ENSG00000150938;ENSG00000115461;ENSG00000101349;ENSG00000078747;ENSG00000101049;ENSG00000060491;ENSG00000099942;ENSG00000114737;ENSG00000163930;ENSG00000056736;ENSG00000168309;ENSG00000144891;ENSG00000163453;ENSG00000145349;ENSG00000138688;ENSG00000152377;ENSG00000204580;ENSG00000047936;ENSG00000118515;ENSG00000112425;ENSG00000146674;ENSG00000205277;ENSG00000104205;ENSG00000147654;ENSG00000137142;ENSG00000117425;ENSG00000197785;ENSG00000248333;ENSG00000008128;ENSG00000171603;ENSG00000198793;ENSG00000116670;,772
