Process name,GO_id,Genes
negative regulation of lymphocyte proliferation,GO:0050672,IL2;FOXP3;SOX11;GAL;LST1;IL2RA;
glycolytic process,GO:0006096,;HK2;GCK;ENO3;PGK1;PGAM1;OGDH;PFKL;DHTKD1;HKDC1;GPI;ENO2;TPI1;OGDHL;HK1;ALDOC;GAPDHS;PGM1;ALDOB;GAPDH;PFKFB2;PGAM2;PFKM;ENO1;PKLR;PFKFB1;PKM;PRKAG3;ALDOA;ENO4;HK3;BPGM;LDHA;PFKP;PGK2;ADPGK;PGAM4;
canonical glycolysis,GO:0061621,HK2;GCK;ENO3;PGK1;PGAM1;PFKL;ENO2;GPI;TPI1;HK1;ALDOC;GAPDHS;ALDOB;GAPDH;PGAM2;PFKM;ENO1;FOXK2;PKLR;PKM;ALDOA;HK3;FOXK1;PFKP;
phospholipid metabolic process,GO:0006644,;ACP6;PLPPR1;LCAT;PIP4K2A;LPCAT4;GATA6;PLAAT4;PLA2G15;PLA2G4E;ALOX15B;PLB1;ENPP2;PLPP3;PLCB2;PIP4P1;PLPPR5;PLCD1;PLA2G2A;GDPD1;GPX4;LPCAT1;GDE1;PLPPR2;PLPPR4;NAPEPLD;SNCA;PLA2G10;PLPP4;PLA2G2D;MBOAT7;CYP2W1;LGALS13;PLPP5;PLA2G5;OC90;ANGPTL3;AGPAT2;LPCAT2;PLAAT3;PLPP2;PLAA;PLA2G4A;LPCAT3;PROCA1;MBOAT2;AGPAT1;PLA2G4C;TNFAIP8L3;PLA2G4B;AGPAT4;PLPPR3;PLBD1;PLPP1;CLN8;PLA2G4D;MBOAT1;PLA2G2E;PLA2G2C;PLA2G12A;PLA2G2F;PIP4K2B;PLA2G12B;TAZ;PLA2G4F;APOA1;NKX2-1;PCSK9;PLA2G1B;GDPD3;PLA2G3;LPL;
phospholipid biosynthetic process,GO:0008654,;FITM1;SERAC1;LPCAT4;PGS1;CEPT1;FITM2;PTPMT1;PTDSS1;PCYT1B;PISD;CDS1;GPAT2;LCLAT1;LPCAT1;PTDSS2;MBOAT7;ETNK1;ABHD5;HEXB;TAMM41;CDS2;PCYT2;CRLS1;PEMT;LPCAT2;AGPAT2;SERINC5;PLAAT3;LPCAT3;CHKA;PIP5K1A;GPAT4;MBOAT2;AGPAT1;FADS1;PNPLA3;AGPAT4;SERINC1;TMEM38B;CHPT1;AGPAT3;ISYNA1;SERINC4;GPAM;ETNK2;PPARD;SELENOI;MBOAT1;LPGAT1;GNPAT;PCYT1A;CHKB;GPAT3;AGPAT5;CDIPT;
phosphatidylinositol biosynthetic process,GO:0006661,VAC14;RAB14;MTMR3;PIKFYVE;CDS1;PITPNM2;OCRL;PTPN13;PIK3CB;PIK3C2G;FIG4;SYNJ2;PIK3C2A;PI4KA;PITPNM1;SYNJ1;BMX;INPP5K;PIK3R2;PIK3R5;RUFY1;PIK3C3;SBF1;PIP4K2A;INPP4B;PIK3C2B;RAB4A;PITPNM3;ARF1;MTMR7;INPP5E;PIP5K1B;PI4K2B;INPPL1;PIK3R4;RAB5A;MTMR6;PLCG2;PLEKHA8;PIK3CG;PIP4K2C;PIP5K1C;SH3YL1;INPP4A;INPP5J;DGKE;MBOAT7;FGF2;INPP5D;PIK3R3;INPP5F;PIP5K1A;PLEKHA3;PIK3R1;PIK3CA;SACM1L;MTM1;TPTE2;MTMR9;ARF3;PI4KB;PLEKHA4;IMPA1;MTMR14;MTMR2;MTMR1;PI4K2A;PLEKHA1;PIK3R6;MTMR8;SLC27A1;PTEN;MTMR12;PIP4K2B;MTMR4;CDIPT;PIK3CD;
phosphatidylinositol acyl-chain remodeling,GO:0036149,PLA2G5;PLA2G4D;PLAAT3;LCLAT1;PLA2G2E;PLA2G4A;LPGAT1;PLA2G12A;PLA2G2F;PLA2G2A;PLA2G4F;PLA2G4E;PLA2G4C;PLA2G1B;PLA2G10;PLA2G2D;MBOAT7;PLBD1;
phosphatidylcholine acyl-chain remodeling,GO:0036151,LPCAT4;PLA2G4E;NR1H2;PLA2G6;PLB1;PLA2G2A;LPCAT1;PLA2G10;TMEM86B;PLA2G2D;MBOAT7;PLA2G5;PLAAT3;LPCAT2;PLA2G4A;LPCAT3;MBOAT2;PLA2G4C;PLA2G4B;PLBD1;PLA2G4D;PNPLA8;DBI;PLA2G2E;NR1H3;PLA2G12A;PLA2G4F;PLA2G1B;PLA2G2F;PLA2G3;
layer formation in cerebral cortex,GO:0021819,DAB2IP;LRP8;RELN;CDK5R2;CDK5;GLI3;NR2E1;CTNNB1;ADGRG1;DCX;MBOAT7;CDK5R1;PAFAH1B1;
lipid modification,GO:0030258,MBOAT4;MBOAT1;PORCN;LPCAT3;MBOAT2;FA2H;MBOAT7;
regulation of triglyceride metabolic process,GO:0090207,ATG14;GNB3;PANK2;SERPINA12;MBOAT7;
DNA damage response_ signal transduction by p53 class mediator resulting in cell cycle arrest,GO:0006977,CNOT1;GML;CASP2;PCNA;CARM1;PRMT1;TNKS1BP1;PIDD1;CNOT6;PLK3;ATM;CNOT9;CNOT11;GTSE1;TFDP2;CNOT10;CNOT6L;TFDP1;BAX;E2F8;CDKN1B;E2F4;CDK1;PLK2;SFN;CNOT8;TP53;CDC25C;GADD45A;BTG2;ARID3A;RPL26;PLAGL1;CNOT3;PML;CNOT7;CNOT4;PCBP4;CCNB1;RBM38;SOX4;PPP2R5C;E2F7;RBL2;MDM2;TRIAP1;CDKN1A;CRADD;MUC1;E2F1;RGCC;EP300;CNOT2;MDM4;CHEK2;AURKA;ZNF385A;
nuclear-transcribed mRNA poly(A) tail shortening,GO:0000289,CNOT1;PAN2;SAMD4B;TNKS1BP1;CNOT6;CNOT9;CNOT11;PNLDC1;MLH1;CNOT10;CNOT6L;PARN;TUT4;CNOT8;ZFP36;CNOT3;CNOT4;CNOT7;TUT7;SAMD4A;PAN3;CNOT2;
regulation of stem cell population maintenance,GO:2000036,SAV1;ZC3H13;ELAVL1;TAL1;CNOT1;NODAL;SMO;KDM3A;CNOT3;CNOT2;WDR43;PTN;HMGA2;KAT2A;
positive regulation of cold-induced thermogenesis,GO:0120162,UCP2;CD36;ALMS1;DBH;SCD;GRB10;APC;FFAR4;CXCR4;G0S2;KDM1A;CCR2;PLAC8;HSF1;ADRB1;OXTR;PHOX2B;ADRB3;TRPV2;ADIPOR2;PRLR;PEMT;ZBTB7B;IL13;THRA;BSCL2;CAV1;UCP1;ADIPOR1;SLN;CPT2;IL4R;EHMT1;CMKLR1;IL4;SIRT6;IL18;DECR1;ESRRG;KDM6B;PDGFC;VEGFA;GATM;FABP5;IGF1R;PTH2R;PER2;SYK;ADRB2;PPARGC1B;DYNC1H1;ZNF516;CEBPB;ADCYAP1;HADH;KDM3A;TRPM8;LEP;ADIPOQ;ACHE;ELOVL6;ELOVL3;FGF21;FABP4;GADD45G;JAK2;OXT;PRKAB2;YBX2;GNAS;GJA1;DIO2;MFAP2;EBF2;GHRL;OMA1;APPL2;PRKAB1;TSHR;HDAC3;OGT;PPARGC1A;LCN2;LPIN1;CNOT3;PRDM16;MFN2;ACADL;IRF4;EPAS1;HCRT;ACSL1;STAT6;KSR2;GPR3;FH;LEPR;
positive regulation of interleukin-6 production,GO:0032755,;CARD9;TLR2;NOD2;CD36;RAB7B;SETD4;IFIH1;SELENOK;NOD1;UCN;SPON2;MYD88;MMP8;MAVS;CYBA;LILRA5;LGALS9;WNT5A;STAT3;DDX58;PYCARD;TLR9;IL6R;TYROBP;POU2AF1;IL17D;IL16;F2R;SPHK2;TLR7;PTPN11;C1QTNF4;TNFSF4;F2RL1;PTAFR;IL17RA;IL1A;APP;DHX9;TNF;TRPV4;IL33;SYK;TWIST1;MAPK13;INAVA;ADCYAP1;IFNG;IL1B;LEP;LILRA2;LILRB2;TMEM106A;SCIMP;CLEC7A;AIF1;BSG;IL17A;TLR3;HMGB1;ISL1;TLR8;EREG;TIRAP;AGER;HYAL2;MBP;TRAF6;IL1RAP;TSLP;ARHGEF2;TLR6;TICAM1;HSPD1;XBP1;LBP;BCL10;TLR4;AKIRIN2;POU2F2;IL6;NOS2;IL17F;ZBTB20;NLRP10;TLR1;IL1RL2;CD74;RIPK2;LPL;
positive regulation of regulatory T cell differentiation,GO:0045591,DUSP10;CR1;BCL6;SOX12;IL2;IL4I1;FOXP3;HLA-G;CD46;SOCS1;LILRB4;LILRB2;TGFB1;VSIR;
learning or memory,GO:0007611,AMFR;SLC2A4;POMK;GALR3;VIP;CASP3;PRKCG;S100B;LILRB2;SHANK3;UCN;MAPK1;ARL6IP5;GHSR;EGR2;PRNP;CHRNA7;PAFAH1B1;PRRT1;CRHBP;PTPRZ1;EGFR;PSEN1;GRM5;GM2A;B2M;GRIN2B;GPI;NCSTN;SLC8A3;SLC8A2;NTRK1;LHX8;APP;BHLHB9;PICALM;MAPT;GATM;CNR1;CALB1;DKK1;EPHB2;THRA;MEF2C;DNAH11;SLC1A1;GRIN2A;CRH;DRD3;CLN3;MME;PRKAR1B;GALR2;AGER;GRPR;SLC11A2;PTEN;AFF2;ADCY8;CCL11;EP300;TMOD2;TTBK1;FZD9;
negative regulation of protein metabolic process,GO:0051248,LDLR;LILRB2;HSP90AB1;
positive regulation of T cell proliferation,GO:0042102,CCL5;;TRAF6;HES1;CD80;IL15;SPTA1;ZP4;IL23R;CD46;HAVCR2;IL1B;CD209;EFNB1;CORO1A;CARD11;LEP;IL4;SELENOK;LILRB2;HLA-DPB1;TNFSF4;CLECL1;IL2;NCK1;JAK3;VTCN1;CD3E;NCK2;IL21;AIF1;IL6ST;ZP3;TNFSF13B;PNP;CD70;PTPRC;VCAM1;HLA-DPA1;SLC7A1;TFRC;CD40LG;NCKAP1L;CCL19;CD86;CD6;DNAJA3;IL6;CD276;TNFRSF13C;IL2RA;HLA-DMB;IL23A;PDCD1LG2;CD1D;CD28;ANXA1;BTNL2;SASH3;IL12B;PRKCQ;CCDC88B;CD274;
regulation of dendritic cell differentiation,GO:2001198,CEBPB;LILRB2;HLA-B;
Fc receptor mediated inhibitory signaling pathway,GO:0002774,LILRB4;LILRB2;LYN;LILRB1;
heterotypic cell-cell adhesion,GO:0034113,SIRPA;CD200;ITGAD;ITGB7;LILRB2;ITGB3;ITGB1;ITGB2;CD58;ITGA5;ITGA4;ITGAV;PTPRC;IZUMO1;PERP;GLDN;CD200R1;VCAM1;ITGAX;RNASE10;CD2;CD47;ITGA7;PARVA;JAM3;CD1D;MADCAM1;
positive regulation of T cell tolerance induction,GO:0002666,LILRB2;FOXP3;HLA-G;TGFBR2;
immune response-inhibiting cell surface receptor signaling pathway,GO:0002767,LILRB2;HLA-G;LILRB1;
positive regulation of protein dephosphorylation,GO:0035307,SYMPK;CALM2;ADORA1;CDCA2;LILRB2;GBA;PPP2R5D;PINK1;CDH5;PPP1R16B;CALM1;PTBP1;PPIA;PPP2R5A;SPPL3;NSMF;PRKCD;SMPD1;CAMTA1;DLC1;CALM3;CNEP1R1;PIN1;PPP1R7;ANKLE2;PTPA;
negative regulation of calcium ion transport,GO:0051926,CD33;PTGS2;LILRB1;ADRA2A;PLN;ICAM1;NOS1;PACSIN3;LILRB2;STC1;GNAO1;INPP5K;CAV3;
regulation of long-term synaptic potentiation,GO:1900271,CALB2;ARC;CALB1;CYP46A1;YTHDF1;SCGN;PAIP2;NCSTN;GSK3B;NSG1;LILRB2;SHANK3;AGER;
positive regulation of long-term synaptic depression,GO:1900454,GRID2;PPP1R9A;ADCY8;CBLN1;KCNB1;LILRB2;
phosphatidylinositol-mediated signaling,GO:0048015,KCNH1;NGF;IRS2;PLCD3;PIK3CD;RPS6KB1;FGFR1;PIK3C2B;PLCB2;PLCB1;EXOC1;PLCD1;PTAFR;PITPNM2;NPR3;ZP3;IGF1;PLCH1;PIK3CB;CSF1R;PLCZ1;PIK3C2G;RHOA;IRS1;OGT;PIK3C2A;PLCD4;PI4KA;PIRT;INPP5F;IGF1R;GPR143;PDGFRB;GAB2;GSN;PDGFRA;PIK3R1;MUC5AC;PLCH2;PIK3CA;NCS1;PLCE1;EZR;PLCL1;PLCB3;PLCL2;PI4KB;PIK3R2;PLCB4;PIK3CG;NTRK1;CA8;PIK3C3;
inositol phosphate metabolic process,GO:0043647,INPP5B;NUDT4;PLCD3;NUDT11;IP6K3;INPP5A;INPP4B;PLCB2;ITPKC;IPPK;PLCB1;PLCD1;OCRL;INPP4A;PPIP5K2;INPP5J;CALM1;PLCH1;ITPKB;PLCZ1;INPP5D;PLCD4;IMPA2;MIOX;INPPL1;SYNJ1;ITPK1;ITPKA;PLCH2;ISYNA1;MINPP1;PLCE1;GALR2;PTEN;PLCG2;PLCB3;IPMK;INPP1;PLCB4;NUDT10;NUDT3;IMPA1;IP6K2;PPIP5K1;PLCG1;PLD4;IP6K1;
post-Golgi vesicle-mediated transport,GO:0006892,HSPA8;SORL1;BLOC1S6;AP1M2;VAMP7;CLVS1;DNAJC6;DNM2;SCFD1;FTL;AP1G1;VAMP2;GBF1;AP1S2;PUM1;AP4M1;CLVS2;ARF1;FTH1;SH3D19;DTNBP1;AP1S1;VAMP8;ARRB1;AP1B1;SNAP23;STX4;SORT1;AP1G2;SCAMP2;TXNDC5;BLOC1S1;APP;NAPA;AP4B1;MYO5A;MYO1B;SORCS1;SH3GL2;AP4S1;AP1M1;BLOC1S3;ARL3;CLTA;AP1S3;GOLGB1;BLOC1S4;ACBD3;EXOC5;RABIF;HGS;SCAMP1;AP4E1;CLTC;SCAMP3;CLINT1;CHMP2A;RP2;
cell communication,GO:0007154,;GJB4;DLL1;GJB7;GJB1;JAG1;GJA8;GJC3;FRAS1;GJA3;GJB3;GJA5;CTSV;OIP5;GJD2;ANG;JAG2;GJB5;NF1;SNTG1;GJC1;GJD4;SLC8A3;SLC8A2;CCL16;KREMEN1;GJB2;ADGRV1;GJD3;TRIP10;NRG1;CCL19;GJE1;GJB6;CCL18;FREM3;ENPP5;DLL4;GJA10;GJA1;GJA9;SLC8A1;FREM1;ITGB4;FREM2;GJC2;GJA4;
regulation of growth,GO:0040008,IGFBP3;DLL1;GPC3;ARMC10;DMAP1;PAK2;LRP12;IGFBP4;SOCS6;PRAME;RUVBL1;DAB2IP;MORF4L1;BCL2L1;TSPYL5;FAM107A;MCTS1;EPC1;KAT5;VPS54;KCTD6;RUVBL2;KCTD21;SHC1;BRMS1L;OSGIN1;HOXB13;MORF4L2;UBE2E3;OGFR;CISH;IGFBP5;IGSF11;ACTL6A;TLE5;BRD8;CAPRIN2;CCDC85B;PPP2R1A;MRGBP;ING2;ENOX2;TKT;TGFBR2;NEDD9;HEPACAM;IFNG;TGFBR1;NDN;CREG1;NSMCE3;PPP2CA;SOCS3;SOCS2;SOCS7;CCNB2;HMGA2;ZMAT3;SOCS1;GAP43;TSG101;SELENOP;RACK1;SOCS4;CSPG5;SOCS5;BCL2;KCTD11;TMEM8B;IGFBP2;YEATS4;OSM;ING3;PTCH1;GAS6;E4F1;IHH;
regulation of cell division,GO:0051302,CIB1;RACK1;RBL1;FSD1;PLK3;TLE6;DLL1;KIF18B;NLRP5;OOEP;EFHC1;RBL2;
regulation of cell adhesion,GO:0030155,S1PR1;DLL1;LAMA3;SERPINI1;PKHD1;PTPRJ;ENG;PKD1;LAMA5;SERPINI2;CBLL1;PPP1R12A;C2CD4B;FAF1;C2CD4A;EPHA8;YTHDF2;PPP1CB;LAMA1;EMCN;LAMA4;IL18;CXCR4;JAG2;KIF14;CBLB;STAT5B;ROCK2;PPP2CA;FES;ABL2;GPR4;FUT1;SPINK5;RET;ABL1;GSN;PRKX;SRF;PML;PTK2B;FUT2;PPP2R1A;ROCK1;CBLL2;SOX9;CYTIP;CXCL8;CYTH1;LAMA2;PTK2;LMO7;NUAK1;PKP4;CXCR3;
regulation of blood pressure,GO:0008217,EDNRA;EDN1;DLL1;UTS2B;NPPA;AGT;NPR1;EDNRB;TAC1;STK39;LEP;ERAP1;BRS3;NOS3;NOX1;EXT2;AGTR2;PTGS2;GNB3;GUCY1A1;RAMP2;NISCH;TAC4;SGK1;NPR3;NPY;RENBP;LNPEP;TRHDE;EXT1;LRP5;SOD1;CYP4F2;P2RX4;ACE;AGTRAP;ATP2B1;NPPB;PPARG;CORIN;ATP1A2;ANPEP;ACTA2;COL1A2;PTGS1;MYH6;ACSM3;POMC;GCH1;UTS2R;UTS2;HMOX1;ATP1A1;CHGA;MC3R;CYP11B1;GCGR;LVRN;HBB;REN;SOD2;CD34;P2RX1;CALCA;ENPEP;ACVRL1;NPR2;ERAP2;
regulation of neurogenesis,GO:0050767,FERD3L;HES1;HELT;DLL1;BHLHE41;HEYL;IL1B;PRUNE1;CX3CR1;ASCL1;NF2;YAP1;YTHDF2;WNT3;HEY2;HES5;HES7;HES3;FEZF1;ARNTL;CX3CL1;FEZF2;CTNNB1;POU4F1;PER2;TNR;CHD7;PAX6;DLL4;EZH2;JADE2;ZNF335;DOCK7;HOXB3;HMGB2;HES2;HES6;ASCL2;BHLHE40;HEY1;NOTCH1;
cell fate determination,GO:0001709,HOXA2;DLL1;JAG1;NOTCH2;DSCAML1;PROX1;GATA2;PAX2;NOTCH4;CTNNB1;NKX6-3;PTCH1;BARHL2;PAX6;GATA3;MCL1;CYP26B1;EBF2;PTCH2;
somitogenesis,GO:0001756,DLL1;MYF5;PRKDC;MIB1;PALB2;EPB41L5;SFRP1;TMED2;LFNG;TBXT;RBPJ;XRCC2;ATM;POGLUT1;PSEN1;NLE1;HES7;TBX19;TBX18;PCDH8;MSGN1;TCAP;SFRP2;SMAD3;LEF1;BMPR1A;FOXC1;SEMA3C;MYF6;FOXC2;ROR2;TP53;AXIN2;WNT5A;PLXNA2;FOXF1;PAX1;POFUT1;RIPPLY2;FOXB1;CRB2;TCF15;WNT3A;DLL3;NKX3-1;ABI1;EP300;MED12;KAT2A;
heart looping,GO:0001947,BBS7;FGF8;CCDC40;CITED2;DLL1;TBX3;FOLR1;FOXN4;NKX2-5;MIB1;ENG;LBX1;NDRG4;MESP1;NPHP3;TMED2;GATA4;NOTCH2;ZIC3;SOX18;PSEN1;IFT52;APLNR;SOX17;SMO;ARL13B;SMAD3;SUFU;CCDC103;PKD2;NODAL;TBX6;CCDC39;DNAAF1;STIL;IFT57;VANGL2;IFT172;HAND1;WNT5A;SHH;MEF2C;AHI1;SRF;HAND2;OVOL2;BBS4;TBX20;MICAL2;TBX2;NOTO;HIF1A;WNT3A;C2CD3;BBS5;SETDB2;TGFBR2;FOXH1;TBX22;TBR1;EOMES;TBX21;MKKS;NOTCH1;IHH;
marginal zone B cell differentiation,GO:0002315,DOCK11;CDH17;NOTCH2;DLL1;BCL3;MFNG;DOCK10;PTK2B;LFNG;
type B pancreatic cell development,GO:0003323,SIDT2;PDPK1;DLL1;BMP6;WNT5A;CDH2;NKX2-2;CDK6;HNF4A;SMO;BMP5;NKX6-1;INSM1;BMP4;
determination of left/right symmetry,GO:0007368,FGF8;DLL1;ACVR2A;GALNT11;ARL6;DRC1;DYNC2H1;DISP1;FGF10;C9orf116;MKS1;TDGF1P3;WNT5A;ANKS6;ALG5;PITX2;ARL13B;BBS7;DAND5;NOTCH2;FOXJ1;DAW1;DNAH5;SUFU;PKD2;STIL;TBC1D32;PCSK5;MEGF8;PCSK6;WNT3A;DNAI2;IFT74;CC2D2A;MKKS;CFAP53;DNAAF4;CFC1;IFT52;ACVR1;RFX3;KIF3B;IFT140;AP1B1;CCDC103;CCDC39;TDGF1;DNAH11;DNAI1;RIPPLY2;NOTO;DYNC2LI1;BICC1;DAAM2;NKX3-2;TBX1;CITED2;NPHP3;LEFTY1;ZIC3;ODAD2;SMO;DPCD;NODAL;IFT172;SHH;RTTN;TMEM107;PSKH1;FOXF1;MMP21;ODAD3;RPGRIP1L;CFC1B;NEK8;FOXH1;NOTCH1;
proximal/distal pattern formation,GO:0009954,DLL1;EN1;GLI2;CHSY1;LRP4;GLI1;HOXA11;PBX1;ALDH1A2;HOXD10;DLX1;DLX2;TP63;GREM1;CTNNB1;PBX2;HOXA10;HOXB9;GLI3;HOXA9;SP8;HOXC9;CYP26B1;HOXD9;
astrocyte development,GO:0014002,TLR4;ROR2;PLP1;S100A8;DLL1;ROR1;CDK6;LAMC3;GFAP;POU3F2;VIM;S100A9;TSPAN2;LAMB2;EIF2B5;MT3;AGER;
regulation of somitogenesis,GO:0014807,DLL1;CDX1;NOTCH1;DMRT2;LFNG;CDX2;
spinal cord development,GO:0021510,DLL1;AKT1;BAG3;LHX1;MPST;PKD1;ERCC2;PHGDH;PTN;DPYSL2;NEUROG3;LOXL3;PTPRS;NF1;SUZ12;ACTL6A;SRD5A1;PKD2;ACTL6B;NOG;ROBO2;NEFL;EED;PTBP2;VIT;SOX4;FOXB1;MTOR;PLXDC1;SOX12;SOX11;ZPR1;MED12;
hemopoiesis,GO:0030097,DLL1;GLRX5;SPTA1;JAG1;RUNX2;TIPARP;NKX2-5;TGFB2;AHSP;ZBTB16;SFRP1;MYO1E;MEIS1;HOXB4;MIXL1;CD164;NOTCH2;RBPJ;CDK13;BCL2;SGPL1;SH2B3;RUNX1;LCK;SELPLG;FLT3;ANGPT1;CCR2;ZFAT;CSF1R;ZNF160;ADD2;FLCN;CNN2;GATA2;PICALM;TAL1;MELK;MKNK2;NOTCH4;TWSG1;CIAPIN1;ROGDI;ETV2;LYN;RUNX3;GFI1;FUT10;CTNNB1;FOXN1;CUL4A;WNT3A;BRCA2;PGM3;L3MBTL1;PKNOX1;RTKN2;EPAS1;ASH2L;ASXL1;TAZ;KIT;ZFP36L2;BMI1;IL10;CD34;KIRREL3;TTC7A;CRIP2;
negative regulation of epithelial cell differentiation,GO:0030857,DLL1;OSR1;TBX3;ZEB1;IFNG;SMO;SOX9;NKX6-3;CAV1;CCND1;YAP1;
negative regulation of interleukin-10 production,GO:0032693,LILRB1;DLL1;TYROBP;JAK3;IL23R;FOXP3;EPX;CD274;PDCD1LG2;IL23A;TRIB2;TNFRSF21;FCGR2B;MMP8;LILRB4;IL12B;VSIR;AGER;
negative regulation of glial cell apoptotic process,GO:0034351,CCL2;TRAF2;PRKCH;DLL1;PRKCA;PRKCD;PRKCI;
organ growth,GO:0035265,FGFR2;NLGN4X;LY6E;BCL2;DLL1;SMAD2;FGF10;ADRA1A;PLAG1;EHMT2;GJE1;PTPN11;IER3IP1;
negative regulation of epidermal cell differentiation,GO:0045605,GDF3;EZH2;DLL1;
negative regulation of myoblast differentiation,GO:0045662,DLL1;TBX3;ANKRD2;DDIT3;ID3;IL18;SOSTDC1;CCL17;CXCL10;ZFHX3;NMRK2;TNF;MSTN;SOX9;EID2B;MBNL3;SOX8;BMP4;SRA1;PPARD;CXCL14;NOTCH1;CMTM5;
negative regulation of neuron differentiation,GO:0045665,HES1;LSM1;NOTCH1;HOXA2;DLL1;ZNF536;JAG1;HMG20A;NKX2-2;DIXDC1;DISP3;MIB1;LBX1;CNTN2;BMP7;ASCL1;MEIS1;SOX2;CNTN4;RAP1GAP;DDX6;SLC6A4;IRX3;HES5;CALR;PBX1;FOXO3;NR2E1;DTX1;HES3;EIF2AK4;MED1;PHOX2B;APP;REST;RHOA;LMX1A;EIF4ENIF1;ISL1;FEZF2;ZHX2;CTDSP1;ASPM;SPAG9;NEPRO;FOXG1;PAX6;EIF4E;DMD;SIX3;GPR37L1;GLI3;OLIG2;SOX3;TLX3;MAG;CDK5RAP2;HEY1;TP73;ISL2;
negative regulation of Notch signaling pathway,GO:0045746,FBXW7;DLL1;AKT1;CBFA2T2;BMP7;TCIM;NFKBIA;YTHDF2;HEY2;EGF;NIBAN2;EGFR;WWP2;ARRB1;NOTCH3;NEURL1;DLX1;METTL3;NRARP;MMP14;RITA1;DLX2;GATA2;DLK2;CHAC1;EGFL7;ZBTB7A;TSPAN15;BEND6;OVOL2;SLC35C1;DLL4;MAGEA1;BCL6;HIF1AN;HEY1;ARRDC1;DLK1;
positive regulation of Notch signaling pathway,GO:0045747,MAML2;HES1;ITGB1BP1;CCN3;DLL1;JAG1;NOD2;MFNG;TGFB2;PRKCI;ENHO;ASCL1;NOS3;MESP1;RFNG;YAP1;RBPJ;POGLUT1;JAG2;HES5;FGF10;TSPAN5;NOTCH2NLB;AAK1;IL6ST;CNTN6;KAT2B;SNW1;TP63;ELF3;BMP2K;NOTCH4;NOTCH2NLA;STAT3;MAML1;CREBBP;EPN2;MAML3;NEPRO;GSX2;DLL4;ZMIZ1;SLC35C2;TM2D3;WNT1;KIT;EP300;TSPAN14;PDCD10;SRC;NOTCH1;NOTCH2NLC;
positive regulation of endocytosis,GO:0045807,FLOT1;DLL1;GPC3;APOE;AP2B1;MIB1;DNM2;TFR2;CBLL1;DAB2;ARF1;SNCA;LRP1;WNT5A;CALY;CCL19;SMPD1;NEDD4L;PPP3CA;CD151;CLIP3;EEF2K;CD14;
lateral inhibition,GO:0046331,HES1;TM2D3;DLL1;
skeletal muscle tissue growth,GO:0048630,CHRNA1;CHRND;DLL1;
positive regulation of skeletal muscle tissue growth,GO:0048633,IGF2;ACTN3;NACA;DLL1;
neuron fate specification,GO:0048665,MYT1L;DLL1;FEV;ISL1;NKX2-2;SIX1;DMRTA2;EHMT2;FOXA1;POU3F2;EYA1;TLX3;ASCL1;POU4F1;ISL2;NTRK3;GSX2;
retina development in camera-type eye,GO:0060041,TGIF2;DLL1;AGTPBP1;TCIRG1;MFRP;PRPH2;HPCA;LAMC3;LHX1;MAX;PDE6A;NPHP4;RP1L1;LHX2;BMPR1B;LAMB2;IMPDH2;PTN;NPHP1;NTRK2;TULP1;JMJD6;RD3;LAMA1;ACHE;NECTIN1;LPCAT1;NR2E1;ROM1;PFDN5;PAX4;BAX;RRM1;GNAT1;RP1;RORB;POU4F2;RPE65;TBC1D32;GRM6;CALB1;NR2E3;TUB;RET;CLCN2;MDM1;SLC1A1;TTLL5;PDE6B;DCX;SOX9;SOX8;CHD7;SLC4A5;PAX6;CLN8;VAX2;CRB1;TENT2;RHO;GNB1;RPGRIP1;BMPR2;MERTK;RPL24;SKI;XRN2;ZNF513;OPA1;SERPINF1;
retina morphogenesis in camera-type eye,GO:0060042,PROX1;MFSD2A;CRB1;RPE65;DLL1;PROM1;ROM1;LRP5;NECTIN3;PTF1A;MAN2A1;RP1;
nephron development,GO:0072006,DLL1;JAG1;FAT4;NUP133;ITGA3;NUP160;NUP107;SIX2;WNT4;DCHS2;NUP85;DCHS1;
neuronal stem cell population maintenance,GO:0097150,HES1;DLL1;JAG1;CDH2;MMP24;SOX2;IGF2BP1;HES5;FOXO3;MCPH1;REST;PROX1;SS18;FANCD2;ASPM;PCM1;PRRX1;SRRT;FANCC;NOTCH1;HOOK3;
skin epidermis development,GO:0098773,TP63;AP3B1;GATA6;DLL1;
regulation of vascular endothelial growth factor signaling pathway,GO:1900746,CD63;TSPAN12;PTP4A3;DLL1;
positive regulation of sprouting angiogenesis,GO:1903672,FGF1;PDPK1;DLL1;GHRL;GHSR;JMJD8;SLC39A12;S100A1;KLF4;TJP1;ITGA5;FGF2;HMGB1;VEGFA;FUT1;BMPER;SMAD1;PKM;JAK1;JCAD;IL10;
retinal metabolic process,GO:0042574,DHRS13;RPE65;BCO1;BCO2;RDH10;RDH11;AKR1C1;ALDH1A3;AKR1C3;RDH13;ALDH1A2;SDR16C5;ALDH8A1;CYP1B1;CYP27C1;
tRNA splicing_ via endonucleolytic cleavage and ligation,GO:0006388,TRPT1;C2orf49;TSEN15;RTCB;RTRAF;CLP1;CSTF2;DDX1;FAM98B;CPSF4;TSEN54;CPSF1;TSEN34;ZBTB8OS;TSEN2;
tRNA-type intron splice site recognition and cleavage,GO:0000379,TSEN34;TSEN54;TSEN2;
